STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
DONE.
STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,547.82
500,547.82
1000,524.18
1500,547.82
2000,571.47
2500,547.82
3000,547.82
3500,524.18
4000,524.18
4500,524.18
5000,500.53
5500,524.18
6000,500.53
6500,500.53
7000,500.53
7500,476.88
8000,500.53
8500,500.53
9000,524.18
9500,524.18
10000,524.18
10500,524.18
11000,547.82
11500,524.18
12000,524.18
12500,547.82
13000,547.82
13500,547.82
14000,547.82
14500,547.82
15000,500.53
15500,500.53
16000,524.18
16500,547.82
17000,524.18
17500,524.18
18000,595.12
18500,571.47
19000,524.18
19500,500.53
20000,500.53
20500,500.53
21000,500.53
21500,500.53
22000,500.53
22500,524.18
23000,524.18
23500,524.18
24000,524.18
24500,547.82
25000,524.18
25500,547.82
26000,524.18
26500,524.18
27000,547.82
27500,524.18
28000,500.53
28500,500.53
29000,524.18
29500,524.18
30000,524.18
30500,476.88
31000,476.88
31500,524.18
32000,524.18
32500,524.18
33000,571.47
33500,547.82
34000,547.82
34500,524.18
35000,547.82
35500,547.82
36000,500.53
36500,547.82
37000,547.82
37500,571.47
38000,571.47
38500,571.47
39000,571.47
39500,547.82
40000,571.47
40500,595.12
41000,571.47
41500,571.47
42000,571.47
42500,547.82
43000,547.82
43500,524.18
44000,524.18
44500,524.18
45000,547.82
45500,547.82
46000,547.82
46500,547.82
47000,547.82
47500,595.12
48000,595.12
48500,595.12
49000,595.12
49500,595.12
50000,595.12
50500,595.12
51000,571.47
51500,595.12
52000,571.47
52500,595.12
53000,547.82
53500,547.82
54000,547.82
54500,571.47
55000,571.47
55500,547.82
56000,571.47
56500,571.47
57000,571.47
57500,571.47
58000,571.47
58500,571.47
59000,595.12
59500,571.47
60000,571.47
60500,595.12
61000,595.12
61500,595.12
62000,595.12
62500,595.12
63000,595.12
63500,571.47
64000,547.82
64500,547.82
65000,524.18
65500,547.82
66000,524.18
66500,524.18
67000,524.18
67500,500.53
68000,500.53
68500,500.53
69000,500.53
69500,500.53
70000,524.18
70500,524.18
71000,524.18
71500,524.18
72000,547.82
72500,547.82
73000,547.82
73500,547.82
74000,524.18
74500,547.82
75000,547.82
75500,547.82
76000,547.82
76500,524.18
77000,524.18
77500,524.18
78000,500.53
78500,500.53
79000,524.18
79500,500.53
80000,476.88
80500,429.58
81000,453.24
81500,476.88
82000,500.53
82500,500.53
83000,524.18
83500,666.06
84000,547.82
84500,547.82
85000,524.18
85500,524.18
86000,547.82
86500,500.53
87000,524.18
87500,524.18
88000,547.82
88500,547.82
89000,547.82
89500,547.82
90000,524.18
90500,524.18
91000,524.18
91500,524.18
92000,524.18
92500,524.18
93000,524.18
93500,524.18
94000,524.18
94500,524.18
95000,524.18
95500,476.88
96000,524.18
96500,524.18
97000,547.82
97500,547.82
98000,524.18
98500,476.88
99000,500.53
99500,500.53
100000,524.18
100500,524.18
101000,571.47
101500,760.65
102000,595.12
102500,524.18
103000,524.18
103500,524.18
104000,524.18
104500,547.82
105000,524.18
105500,524.18
106000,524.18
106500,524.18
107000,524.18
107500,524.18
108000,524.18
108500,547.82
109000,547.82
109500,500.53
110000,476.88
110500,524.18
111000,547.82
111500,500.53
112000,476.88
112500,476.88
113000,476.88
113500,476.88
114000,476.88
114500,453.24
115000,453.24
115500,453.24
116000,453.24
116500,453.24
117000,453.24
117500,453.24
118000,429.58
118500,429.58
119000,429.58
119500,476.88
120000,476.88
120500,429.58
121000,453.24
121500,453.24
122000,453.24
122500,453.24
123000,429.58
123500,453.24
124000,453.24
124500,429.58
125000,429.58
125500,405.94
126000,429.58
126500,453.24
127000,429.58
127500,405.94
128000,453.24
128500,429.58
129000,453.24
129500,453.24
130000,453.24
130500,476.88
131000,524.18
131500,476.88
132000,476.88
132500,500.53
133000,500.53
133500,500.53
134000,429.58
134500,453.24
135000,476.88
135500,500.53
136000,476.88
136500,476.88
137000,476.88
137500,476.88
138000,476.88
138500,476.88
139000,453.24
139500,476.88
140000,476.88
140500,476.88
141000,476.88
141500,476.88
142000,476.88
142500,382.29
143000,382.29
143500,429.58
144000,453.24
144500,453.24
145000,476.88
145500,642.41
146000,571.47
146500,500.53
147000,453.24
147500,476.88
148000,453.24
148500,500.53
149000,500.53
149500,476.88
150000,476.88
150500,429.58
151000,453.24
151500,453.24
152000,382.29
152500,429.58
153000,429.58
153500,500.53
154000,453.24
154500,453.24
155000,453.24
155500,453.24
156000,453.24
156500,453.24
157000,429.58
157500,429.58
158000,429.58
158500,429.58
159000,405.94
159500,405.94
160000,429.58
160500,335.00
161000,358.64
161500,382.29
162000,405.94
162500,405.94
163000,405.94
163500,595.12
164000,453.24
164500,405.94
165000,382.29
165500,405.94
166000,382.29
166500,335.00
167000,405.94
167500,405.94
168000,405.94
168500,405.94
169000,405.94
169500,405.94
170000,405.94
170500,405.94
171000,429.58
171500,405.94
172000,405.94
172500,405.94
173000,405.94
173500,382.29
174000,429.58
174500,405.94
175000,453.24
175500,429.58
176000,382.29
176500,405.94
177000,405.94
177500,382.29
178000,358.64
178500,358.64
179000,405.94
179500,429.58
180000,429.58
180500,405.94
181000,453.24
181500,429.58
182000,429.58
182500,429.58
183000,453.24
183500,453.24
184000,453.24
184500,453.24
185000,453.24
185500,453.24
186000,453.24
186500,429.58
187000,453.24
187500,476.88
188000,476.88
188500,453.24
189000,453.24
189500,453.24
190000,405.94
190500,429.58
191000,429.58
191500,476.88
192000,453.24
192500,476.88
193000,547.82
193500,500.53
194000,476.88
194500,453.24
195000,453.24
195500,476.88
196000,453.24
196500,476.88
197000,476.88
197500,476.88
198000,429.58
198500,476.88
199000,476.88
199500,382.29
200000,405.94
200500,453.24
201000,453.24
201500,476.88
202000,453.24
202500,453.24
203000,476.88
203500,476.88
204000,453.24
204500,642.41
205000,476.88
205500,453.24
206000,453.24
206500,453.24
207000,453.24
207500,405.94
208000,405.94
208500,429.58
209000,453.24
209500,429.58
210000,429.58
210500,429.58
211000,429.58
211500,429.58
212000,429.58
212500,429.58
213000,453.24
213500,429.58
214000,453.24
214500,476.88
215000,453.24
215500,453.24
216000,429.58
216500,429.58
217000,453.24
217500,453.24
218000,429.58
218500,453.24
219000,453.24
219500,453.24
220000,453.24
220500,429.58
221000,453.24
221500,476.88
222000,429.58
222500,429.58
223000,429.58
223500,429.58
224000,453.24
224500,453.24
225000,453.24
225500,476.88
226000,453.24
226500,453.24
227000,453.24
227500,453.24
228000,476.88
228500,476.88
229000,476.88
229500,453.24
230000,476.88
230500,476.88
231000,476.88
231500,476.88
232000,476.88
232500,476.88
233000,476.88
233500,476.88
234000,476.88
234500,500.53
235000,500.53
235500,476.88
236000,476.88
236500,476.88
237000,476.88
237500,524.18
238000,476.88
238500,476.88
239000,500.53
239500,476.88
240000,476.88
240500,476.88
241000,476.88
241500,500.53
242000,500.53
242500,500.53
243000,500.53
243500,476.88
244000,476.88
244500,476.88
245000,476.88
245500,453.24
246000,500.53
246500,500.53
247000,500.53
247500,500.53
248000,476.88
248500,476.88
249000,476.88
249500,476.88
250000,476.88
250500,476.88
251000,500.53
251500,500.53
252000,547.82
252500,476.88
253000,476.88
253500,476.88
254000,453.24
254500,476.88
255000,405.94
255500,453.24
256000,476.88
256500,453.24
257000,476.88
257500,476.88
258000,476.88
258500,476.88
259000,476.88
259500,476.88
260000,500.53
260500,476.88
261000,476.88
261500,476.88
262000,500.53
262500,500.53
263000,476.88
263500,500.53
264000,500.53
264500,500.53
265000,476.88
265500,500.53
266000,500.53
266500,500.53
267000,476.88
267500,500.53
268000,476.88
268500,476.88
269000,500.53
269500,500.53
270000,500.53
270500,476.88
271000,500.53
271500,500.53
272000,524.18
272500,524.18
273000,500.53
273500,524.18
274000,500.53
274500,524.18
275000,524.18
275500,547.82
276000,547.82
276500,547.82
277000,524.18
277500,547.82
278000,547.82
278500,547.82
279000,547.82
279500,571.47
280000,547.82
280500,571.47
281000,547.82
281500,547.82
282000,547.82
282500,571.47
283000,571.47
283500,571.47
284000,571.47
284500,524.18
285000,524.18
285500,547.82
286000,547.82
286500,571.47
287000,571.47
287500,618.76
288000,618.76
288500,571.47
289000,547.82
289500,547.82
290000,571.47
290500,547.82
291000,547.82
291500,571.47
292000,547.82
292500,524.18
293000,547.82
293500,571.47
294000,571.47
294500,571.47
295000,547.82
295500,547.82
296000,571.47
296500,547.82
297000,571.47
297500,547.82
298000,547.82
298500,571.47
299000,547.82
299500,547.82
300000,547.82
300500,547.82
301000,547.82
301500,547.82
302000,524.18
302500,547.82
303000,524.18
303500,547.82
304000,524.18
304500,524.18
305000,547.82
305500,547.82
306000,547.82
306500,524.18
307000,524.18
307500,547.82
308000,547.82
308500,524.18
309000,547.82
309500,571.47
310000,547.82
310500,547.82
311000,524.18
311500,547.82
312000,547.82
312500,524.18
313000,524.18
313500,547.82
314000,524.18
314500,547.82
315000,524.18
315500,500.53
316000,524.18
316500,524.18
317000,524.18
317500,500.53
318000,524.18
318500,524.18
319000,524.18
319500,500.53
320000,524.18
320500,524.18
321000,500.53
321500,524.18
322000,524.18
322500,500.53
323000,524.18
323500,524.18
324000,547.82
324500,524.18
325000,547.82
325500,547.82
