STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
DONE.
STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,878.89
500,878.89
1000,878.89
1500,902.53
2000,878.89
2500,878.89
3000,902.53
3500,902.53
4000,902.53
4500,902.53
5000,902.53
5500,902.53
6000,902.53
6500,878.89
7000,902.53
7500,902.53
8000,902.53
8500,878.89
9000,878.89
9500,878.89
10000,878.89
10500,878.89
11000,878.89
11500,878.89
12000,878.89
12500,878.89
13000,878.89
13500,902.53
14000,902.53
14500,902.53
15000,878.89
15500,878.89
16000,878.89
16500,878.89
17000,855.24
17500,878.89
18000,878.89
18500,855.24
19000,878.89
19500,878.89
20000,878.89
20500,878.89
21000,855.24
21500,855.24
22000,855.24
22500,878.89
23000,878.89
23500,878.89
24000,878.89
24500,878.89
25000,878.89
25500,878.89
26000,878.89
26500,878.89
27000,878.89
27500,902.53
28000,902.53
28500,902.53
29000,878.89
29500,878.89
30000,902.53
30500,902.53
31000,926.18
31500,926.18
32000,902.53
32500,902.53
33000,902.53
33500,878.89
34000,878.89
34500,878.89
35000,902.53
35500,878.89
36000,902.53
36500,878.89
37000,902.53
37500,902.53
38000,878.89
38500,878.89
39000,902.53
39500,902.53
40000,878.89
40500,902.53
41000,878.89
41500,878.89
42000,878.89
42500,878.89
43000,878.89
43500,878.89
44000,878.89
44500,878.89
45000,878.89
45500,855.24
46000,855.24
46500,878.89
47000,878.89
47500,855.24
48000,855.24
48500,878.89
49000,878.89
49500,878.89
50000,878.89
50500,855.24
51000,878.89
51500,878.89
52000,878.89
52500,855.24
53000,855.24
53500,855.24
54000,855.24
54500,878.89
55000,878.89
55500,878.89
56000,878.89
56500,855.24
57000,878.89
57500,878.89
58000,855.24
58500,878.89
59000,902.53
59500,878.89
60000,878.89
60500,902.53
61000,902.53
61500,902.53
62000,902.53
62500,878.89
63000,878.89
63500,878.89
64000,878.89
64500,902.53
65000,878.89
65500,878.89
66000,902.53
66500,902.53
67000,878.89
67500,878.89
68000,878.89
68500,878.89
69000,902.53
69500,902.53
70000,878.89
70500,878.89
71000,878.89
71500,855.24
72000,878.89
72500,902.53
73000,902.53
73500,902.53
74000,902.53
74500,902.53
75000,902.53
75500,878.89
76000,878.89
76500,878.89
77000,902.53
77500,902.53
78000,902.53
78500,926.18
79000,902.53
79500,902.53
80000,926.18
80500,926.18
81000,926.18
81500,902.53
82000,878.89
82500,902.53
83000,926.18
83500,902.53
84000,902.53
84500,902.53
85000,902.53
85500,902.53
86000,902.53
86500,926.18
87000,902.53
87500,902.53
88000,902.53
88500,926.18
89000,902.53
89500,926.18
90000,926.18
90500,926.18
91000,926.18
91500,926.18
92000,926.18
92500,926.18
93000,926.18
93500,902.53
94000,902.53
94500,926.18
95000,902.53
95500,902.53
96000,902.53
96500,902.53
97000,902.53
97500,902.53
98000,902.53
98500,878.89
99000,902.53
99500,902.53
100000,902.53
100500,878.89
101000,902.53
101500,878.89
102000,878.89
102500,878.89
103000,855.24
103500,878.89
104000,902.53
104500,902.53
105000,902.53
105500,878.89
106000,902.53
106500,878.89
107000,855.24
107500,902.53
108000,878.89
108500,878.89
109000,878.89
109500,902.53
110000,878.89
110500,878.89
111000,878.89
111500,878.89
112000,878.89
112500,878.89
113000,878.89
113500,855.24
114000,878.89
114500,878.89
115000,902.53
115500,878.89
116000,878.89
116500,878.89
117000,878.89
117500,878.89
118000,878.89
118500,878.89
119000,878.89
119500,878.89
120000,902.53
120500,926.18
121000,926.18
121500,902.53
122000,926.18
122500,902.53
123000,902.53
123500,878.89
124000,902.53
124500,926.18
125000,926.18
125500,949.83
126000,926.18
126500,902.53
127000,926.18
127500,926.18
128000,926.18
128500,926.18
129000,926.18
129500,926.18
130000,902.53
130500,926.18
131000,902.53
131500,902.53
132000,902.53
132500,926.18
133000,902.53
133500,902.53
134000,902.53
134500,902.53
135000,926.18
135500,902.53
136000,902.53
136500,926.18
137000,902.53
137500,926.18
138000,902.53
138500,926.18
139000,902.53
139500,926.18
140000,926.18
140500,926.18
141000,926.18
141500,926.18
142000,926.18
142500,926.18
143000,926.18
143500,902.53
144000,902.53
144500,902.53
145000,902.53
145500,926.18
146000,902.53
146500,902.53
147000,902.53
147500,926.18
148000,902.53
148500,902.53
149000,902.53
149500,902.53
150000,902.53
150500,902.53
151000,902.53
151500,902.53
152000,878.89
152500,902.53
153000,902.53
153500,902.53
154000,902.53
154500,926.18
155000,902.53
155500,902.53
156000,902.53
156500,902.53
157000,926.18
157500,902.53
158000,902.53
158500,902.53
159000,902.53
159500,878.89
160000,902.53
160500,902.53
161000,902.53
161500,878.89
162000,878.89
162500,902.53
163000,878.89
163500,878.89
164000,878.89
164500,902.53
165000,902.53
165500,878.89
166000,878.89
166500,878.89
167000,878.89
167500,878.89
168000,878.89
168500,878.89
169000,878.89
169500,902.53
170000,902.53
170500,902.53
171000,902.53
171500,902.53
172000,926.18
172500,902.53
173000,926.18
173500,902.53
174000,902.53
174500,902.53
175000,926.18
175500,902.53
176000,902.53
176500,926.18
177000,926.18
177500,926.18
178000,926.18
178500,902.53
179000,902.53
179500,926.18
180000,902.53
180500,902.53
181000,902.53
181500,902.53
182000,902.53
182500,902.53
183000,902.53
183500,902.53
184000,902.53
184500,902.53
185000,902.53
185500,878.89
186000,902.53
186500,902.53
187000,902.53
187500,926.18
188000,902.53
188500,926.18
189000,902.53
189500,902.53
190000,902.53
190500,878.89
191000,902.53
191500,878.89
192000,902.53
192500,902.53
193000,902.53
193500,902.53
194000,902.53
194500,878.89
195000,878.89
195500,878.89
196000,878.89
196500,878.89
197000,855.24
197500,855.24
198000,855.24
198500,878.89
199000,878.89
199500,855.24
200000,855.24
200500,878.89
201000,855.24
201500,855.24
202000,855.24
202500,878.89
203000,855.24
203500,878.89
204000,855.24
204500,878.89
205000,855.24
205500,878.89
206000,878.89
206500,878.89
207000,878.89
207500,878.89
208000,878.89
208500,878.89
209000,878.89
209500,855.24
210000,878.89
210500,878.89
211000,878.89
211500,878.89
212000,878.89
212500,878.89
213000,855.24
213500,878.89
214000,878.89
214500,902.53
215000,878.89
215500,878.89
216000,878.89
216500,902.53
217000,902.53
217500,902.53
218000,902.53
218500,902.53
219000,902.53
219500,902.53
220000,902.53
220500,902.53
221000,855.24
221500,878.89
222000,902.53
222500,878.89
223000,902.53
223500,902.53
224000,902.53
224500,902.53
225000,902.53
225500,902.53
226000,902.53
226500,902.53
227000,902.53
227500,878.89
228000,878.89
228500,878.89
229000,878.89
229500,902.53
230000,855.24
230500,855.24
231000,878.89
231500,878.89
232000,878.89
232500,878.89
233000,878.89
233500,878.89
234000,902.53
234500,878.89
235000,878.89
235500,902.53
236000,902.53
236500,878.89
237000,855.24
237500,878.89
238000,902.53
238500,878.89
239000,878.89
239500,878.89
240000,878.89
240500,878.89
241000,878.89
241500,855.24
242000,855.24
242500,855.24
243000,878.89
243500,855.24
244000,855.24
244500,855.24
245000,855.24
245500,855.24
246000,855.24
246500,855.24
247000,855.24
247500,855.24
248000,855.24
248500,855.24
249000,878.89
249500,855.24
250000,855.24
250500,855.24
251000,878.89
251500,855.24
252000,855.24
252500,878.89
253000,831.59
253500,855.24
254000,855.24
254500,855.24
255000,878.89
255500,855.24
256000,855.24
256500,855.24
257000,855.24
257500,855.24
258000,855.24
258500,855.24
259000,855.24
259500,855.24
260000,855.24
260500,855.24
261000,855.24
261500,855.24
262000,878.89
262500,855.24
263000,878.89
263500,855.24
264000,855.24
264500,878.89
265000,878.89
265500,878.89
266000,878.89
266500,902.53
267000,878.89
267500,878.89
268000,902.53
268500,878.89
269000,878.89
269500,878.89
270000,878.89
270500,878.89
271000,878.89
271500,878.89
272000,902.53
272500,878.89
273000,878.89
273500,902.53
274000,878.89
274500,902.53
275000,878.89
275500,902.53
276000,878.89
276500,878.89
277000,878.89
277500,878.89
278000,878.89
278500,878.89
279000,878.89
279500,878.89
280000,878.89
280500,902.53
281000,902.53
281500,878.89
282000,878.89
282500,878.89
283000,878.89
283500,878.89
284000,878.89
284500,878.89
285000,878.89
285500,878.89
286000,855.24
286500,878.89
287000,878.89
287500,878.89
288000,855.24
288500,855.24
289000,855.24
289500,855.24
290000,855.24
290500,855.24
291000,831.59
291500,831.59
292000,831.59
292500,831.59
293000,855.24
293500,831.59
294000,855.24
294500,855.24
295000,855.24
295500,831.59
296000,855.24
296500,855.24
297000,855.24
297500,855.24
298000,855.24
298500,855.24
299000,855.24
299500,855.24
300000,878.89
300500,855.24
301000,855.24
301500,878.89
302000,878.89
302500,855.24
303000,878.89
303500,855.24
304000,878.89
304500,878.89
305000,855.24
305500,878.89
306000,878.89
306500,878.89
307000,855.24
307500,855.24
308000,878.89
308500,831.59
309000,855.24
309500,878.89
310000,878.89
310500,855.24
311000,855.24
311500,855.24
312000,878.89
312500,855.24
313000,878.89
313500,878.89
314000,855.24
314500,855.24
315000,878.89
315500,902.53
316000,902.53
316500,878.89
317000,902.53
317500,878.89
318000,878.89
318500,878.89
319000,902.53
319500,878.89
320000,878.89
320500,878.89
321000,878.89
321500,878.89
322000,878.89
322500,855.24
323000,878.89
323500,855.24
324000,878.89
324500,878.89
325000,878.89
325500,878.89
