STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,737.00
500,737.00
1000,737.00
1500,760.65
2000,760.65
2500,784.29
3000,760.65
3500,784.29
4000,784.29
4500,784.29
5000,807.94
5500,807.94
6000,784.29
6500,807.94
7000,784.29
7500,807.94
8000,807.94
8500,784.29
9000,784.29
9500,784.29
10000,784.29
10500,784.29
11000,760.65
11500,760.65
12000,760.65
12500,760.65
13000,737.00
13500,737.00
14000,760.65
14500,784.29
15000,760.65
15500,760.65
16000,760.65
16500,784.29
17000,784.29
17500,784.29
18000,784.29
18500,784.29
19000,807.94
19500,807.94
20000,807.94
20500,807.94
21000,807.94
21500,807.94
22000,807.94
22500,807.94
23000,784.29
23500,784.29
24000,784.29
24500,784.29
25000,760.65
25500,760.65
26000,760.65
26500,760.65
27000,760.65
27500,737.00
28000,737.00
28500,737.00
29000,713.35
29500,713.35
30000,713.35
30500,737.00
31000,737.00
31500,713.35
32000,737.00
32500,760.65
33000,737.00
33500,737.00
34000,760.65
34500,784.29
35000,784.29
35500,760.65
36000,784.29
36500,784.29
37000,784.29
37500,784.29
38000,784.29
38500,784.29
39000,760.65
39500,784.29
40000,760.65
40500,760.65
41000,760.65
41500,760.65
42000,760.65
42500,737.00
43000,760.65
43500,737.00
44000,737.00
44500,713.35
45000,713.35
45500,689.71
46000,737.00
46500,760.65
47000,760.65
47500,760.65
48000,737.00
48500,760.65
49000,760.65
49500,784.29
50000,784.29
50500,784.29
51000,807.94
51500,784.29
52000,807.94
52500,807.94
53000,807.94
53500,807.94
54000,784.29
54500,784.29
55000,784.29
55500,784.29
56000,784.29
56500,760.65
57000,760.65
57500,760.65
58000,760.65
58500,737.00
59000,737.00
59500,737.00
60000,737.00
60500,737.00
61000,737.00
61500,737.00
62000,737.00
62500,737.00
63000,760.65
63500,760.65
64000,760.65
64500,760.65
65000,760.65
65500,760.65
66000,784.29
66500,807.94
67000,784.29
67500,784.29
68000,784.29
68500,807.94
69000,807.94
69500,807.94
70000,784.29
70500,784.29
71000,784.29
71500,760.65
72000,760.65
72500,760.65
73000,760.65
73500,760.65
74000,737.00
74500,760.65
75000,737.00
75500,737.00
76000,737.00
76500,737.00
77000,737.00
77500,713.35
78000,737.00
78500,737.00
79000,737.00
79500,737.00
80000,760.65
80500,760.65
81000,760.65
81500,760.65
82000,784.29
82500,784.29
83000,784.29
83500,784.29
84000,784.29
84500,807.94
85000,784.29
85500,807.94
86000,784.29
86500,784.29
87000,784.29
87500,784.29
88000,760.65
88500,760.65
89000,760.65
89500,737.00
90000,760.65
90500,760.65
91000,760.65
91500,737.00
92000,737.00
92500,713.35
93000,689.71
93500,713.35
94000,713.35
94500,737.00
95000,737.00
95500,737.00
96000,760.65
96500,760.65
97000,760.65
97500,760.65
98000,760.65
98500,760.65
99000,760.65
99500,784.29
100000,784.29
100500,784.29
101000,784.29
101500,784.29
102000,784.29
102500,784.29
103000,784.29
103500,784.29
104000,760.65
104500,737.00
105000,760.65
105500,737.00
106000,737.00
106500,737.00
107000,737.00
107500,713.35
108000,737.00
108500,713.35
109000,713.35
109500,713.35
110000,737.00
110500,737.00
111000,760.65
111500,760.65
112000,760.65
112500,737.00
113000,737.00
113500,760.65
114000,760.65
114500,760.65
115000,807.94
115500,807.94
116000,807.94
116500,807.94
117000,784.29
117500,807.94
118000,784.29
118500,807.94
119000,784.29
119500,784.29
120000,760.65
120500,784.29
121000,760.65
121500,760.65
122000,737.00
122500,737.00
123000,737.00
123500,737.00
124000,713.35
124500,713.35
125000,713.35
125500,713.35
126000,737.00
126500,737.00
127000,737.00
127500,737.00
128000,737.00
128500,737.00
129000,760.65
129500,760.65
130000,784.29
130500,760.65
131000,760.65
131500,760.65
132000,784.29
132500,784.29
133000,784.29
133500,784.29
134000,784.29
134500,784.29
135000,784.29
135500,760.65
136000,760.65
136500,760.65
137000,760.65
137500,760.65
138000,737.00
138500,760.65
139000,760.65
139500,760.65
140000,737.00
140500,737.00
141000,760.65
141500,737.00
142000,760.65
142500,784.29
143000,784.29
143500,784.29
144000,760.65
144500,784.29
145000,784.29
145500,784.29
146000,784.29
146500,807.94
147000,807.94
147500,807.94
148000,807.94
148500,807.94
149000,831.59
149500,807.94
150000,784.29
150500,784.29
151000,784.29
151500,760.65
152000,784.29
152500,760.65
153000,760.65
153500,737.00
154000,737.00
154500,737.00
155000,713.35
155500,737.00
156000,713.35
156500,713.35
157000,713.35
157500,713.35
158000,713.35
158500,713.35
159000,737.00
159500,737.00
160000,737.00
160500,737.00
161000,737.00
161500,737.00
162000,760.65
162500,760.65
163000,760.65
163500,760.65
164000,760.65
164500,760.65
165000,784.29
165500,760.65
166000,784.29
166500,760.65
167000,784.29
167500,760.65
168000,760.65
168500,737.00
169000,737.00
169500,760.65
170000,737.00
170500,713.35
171000,737.00
171500,713.35
172000,713.35
172500,713.35
173000,713.35
173500,737.00
174000,737.00
174500,784.29
175000,760.65
175500,760.65
176000,784.29
176500,760.65
177000,760.65
177500,784.29
178000,784.29
178500,784.29
179000,784.29
179500,784.29
180000,807.94
180500,807.94
181000,807.94
181500,807.94
182000,807.94
182500,807.94
183000,784.29
183500,784.29
184000,784.29
184500,784.29
185000,760.65
185500,737.00
186000,760.65
186500,737.00
187000,737.00
187500,737.00
188000,713.35
188500,737.00
189000,737.00
189500,760.65
190000,737.00
190500,760.65
191000,760.65
191500,760.65
192000,760.65
192500,760.65
193000,784.29
193500,760.65
194000,784.29
194500,784.29
195000,784.29
195500,784.29
196000,807.94
196500,831.59
197000,807.94
197500,784.29
198000,807.94
198500,807.94
199000,784.29
199500,760.65
200000,784.29
200500,760.65
201000,760.65
201500,760.65
202000,760.65
202500,760.65
203000,737.00
203500,713.35
204000,737.00
204500,713.35
205000,713.35
205500,737.00
206000,737.00
206500,760.65
207000,760.65
207500,737.00
208000,760.65
208500,784.29
209000,784.29
209500,784.29
210000,784.29
210500,784.29
211000,784.29
211500,784.29
212000,807.94
212500,831.59
213000,784.29
213500,784.29
214000,784.29
214500,784.29
215000,784.29
215500,760.65
216000,760.65
216500,737.00
217000,737.00
217500,713.35
218000,713.35
218500,713.35
219000,737.00
219500,713.35
220000,689.71
220500,689.71
221000,713.35
221500,713.35
222000,713.35
222500,737.00
223000,713.35
223500,760.65
224000,737.00
224500,760.65
225000,737.00
225500,760.65
226000,760.65
226500,760.65
227000,760.65
227500,760.65
228000,784.29
228500,784.29
229000,760.65
229500,784.29
230000,760.65
230500,760.65
231000,760.65
231500,760.65
232000,760.65
232500,760.65
233000,760.65
233500,737.00
234000,713.35
234500,713.35
235000,737.00
235500,713.35
236000,689.71
236500,737.00
237000,760.65
237500,737.00
238000,760.65
238500,760.65
239000,760.65
239500,784.29
240000,784.29
240500,807.94
241000,807.94
241500,807.94
242000,807.94
242500,807.94
243000,807.94
243500,831.59
244000,831.59
244500,831.59
245000,807.94
245500,831.59
246000,831.59
246500,831.59
247000,807.94
247500,831.59
248000,784.29
248500,784.29
249000,784.29
249500,760.65
250000,784.29
250500,760.65
251000,760.65
251500,760.65
252000,737.00
252500,784.29
253000,784.29
253500,784.29
254000,760.65
254500,784.29
255000,784.29
255500,807.94
256000,807.94
256500,784.29
257000,784.29
257500,784.29
258000,807.94
258500,807.94
259000,784.29
259500,807.94
260000,807.94
260500,807.94
261000,807.94
261500,784.29
262000,807.94
262500,807.94
263000,760.65
263500,760.65
264000,760.65
264500,760.65
265000,737.00
265500,737.00
266000,737.00
266500,737.00
267000,713.35
267500,689.71
268000,713.35
268500,737.00
269000,713.35
269500,737.00
270000,737.00
270500,737.00
271000,737.00
271500,760.65
272000,737.00
272500,737.00
273000,760.65
273500,784.29
274000,760.65
274500,760.65
275000,760.65
275500,784.29
276000,807.94
276500,784.29
277000,807.94
277500,784.29
278000,784.29
278500,784.29
279000,760.65
279500,760.65
280000,760.65
280500,760.65
281000,737.00
281500,713.35
282000,737.00
282500,737.00
283000,713.35
283500,689.71
284000,713.35
284500,713.35
285000,713.35
285500,737.00
286000,737.00
286500,713.35
287000,737.00
287500,760.65
288000,760.65
288500,760.65
289000,760.65
289500,784.29
290000,760.65
290500,784.29
291000,784.29
291500,784.29
292000,784.29
292500,784.29
293000,784.29
293500,760.65
294000,784.29
294500,784.29
295000,760.65
295500,760.65
296000,760.65
296500,737.00
297000,737.00
297500,713.35
298000,713.35
298500,713.35
299000,737.00
299500,713.35
300000,713.35
300500,737.00
301000,737.00
301500,760.65
302000,737.00
302500,760.65
303000,784.29
303500,760.65
304000,760.65
304500,784.29
305000,784.29
305500,807.94
306000,807.94
306500,807.94
307000,807.94
307500,807.94
308000,831.59
308500,831.59
309000,807.94
309500,807.94
310000,807.94
310500,807.94
311000,784.29
311500,784.29
312000,784.29
312500,784.29
313000,784.29
313500,760.65
314000,760.65
314500,737.00
315000,760.65
315500,760.65
316000,737.00
316500,737.00
317000,760.65
317500,760.65
318000,760.65
318500,760.65
319000,760.65
319500,760.65
320000,760.65
320500,784.29
321000,784.29
321500,784.29
322000,784.29
322500,784.29
323000,807.94
323500,807.94
324000,784.29
324500,784.29
325000,784.29
325500,760.65
326000,784.29
326500,784.29
327000,737.00
327500,760.65
328000,760.65
328500,737.00
329000,737.00
329500,737.00
330000,737.00
330500,713.35
331000,713.35
331500,689.71
332000,713.35
332500,737.00
333000,737.00
333500,713.35
334000,737.00
334500,737.00
335000,737.00
335500,760.65
336000,737.00
336500,760.65
337000,784.29
337500,784.29
338000,784.29
338500,784.29
339000,784.29
339500,831.59
340000,807.94
340500,784.29
341000,807.94
341500,807.94
342000,807.94
342500,807.94
343000,784.29
343500,784.29
344000,784.29
344500,760.65
345000,760.65
345500,760.65
346000,760.65
346500,760.65
347000,737.00
347500,737.00
348000,737.00
348500,784.29
349000,784.29
349500,784.29
350000,807.94
350500,784.29
351000,807.94
351500,807.94
352000,784.29
352500,807.94
353000,831.59
353500,807.94
354000,807.94
354500,807.94
355000,807.94
355500,807.94
356000,831.59
356500,784.29
357000,807.94
357500,807.94
358000,807.94
358500,807.94
359000,807.94
359500,784.29
360000,784.29
360500,784.29
361000,760.65
361500,760.65
362000,760.65
362500,737.00
363000,713.35
363500,689.71
364000,689.71
364500,666.06
365000,666.06
365500,666.06
366000,642.41
366500,666.06
367000,666.06
367500,689.71
368000,689.71
368500,713.35
369000,737.00
369500,760.65
370000,760.65
370500,784.29
371000,807.94
371500,807.94
372000,784.29
372500,784.29
373000,784.29
373500,784.29
374000,784.29
374500,760.65
375000,760.65
375500,760.65
376000,760.65
376500,737.00
377000,737.00
377500,760.65
378000,760.65
378500,737.00
379000,760.65
379500,737.00
380000,760.65
380500,784.29
381000,784.29
381500,784.29
382000,784.29
382500,784.29
383000,784.29
383500,760.65
384000,784.29
384500,784.29
385000,784.29
385500,784.29
386000,784.29
386500,784.29
387000,807.94
387500,807.94
388000,784.29
388500,784.29
389000,760.65
389500,784.29
390000,760.65
390500,760.65
391000,760.65
391500,760.65
392000,760.65
392500,737.00
393000,737.00
393500,760.65
394000,760.65
394500,760.65
395000,760.65
395500,760.65
396000,760.65
396500,760.65
397000,784.29
397500,784.29
398000,784.29
398500,807.94
399000,831.59
399500,831.59
400000,855.24
400500,878.89
401000,878.89
401500,878.89
402000,878.89
402500,902.53
403000,902.53
403500,878.89
404000,855.24
404500,855.24
405000,855.24
405500,855.24
406000,831.59
406500,807.94
407000,784.29
407500,784.29
408000,784.29
408500,760.65
409000,760.65
409500,737.00
410000,760.65
410500,737.00
411000,713.35
411500,713.35
412000,737.00
412500,737.00
413000,737.00
413500,737.00
414000,737.00
414500,760.65
415000,760.65
415500,737.00
416000,760.65
416500,760.65
417000,784.29
417500,760.65
418000,760.65
418500,784.29
419000,760.65
419500,784.29
420000,784.29
420500,760.65
421000,737.00
421500,760.65
422000,760.65
422500,737.00
423000,737.00
423500,737.00
424000,760.65
424500,737.00
425000,737.00
425500,713.35
426000,713.35
426500,713.35
427000,713.35
427500,713.35
428000,737.00
428500,760.65
429000,737.00
429500,760.65
430000,737.00
430500,760.65
431000,760.65
431500,760.65
432000,784.29
432500,784.29
433000,784.29
433500,784.29
434000,807.94
434500,784.29
435000,784.29
435500,784.29
436000,784.29
436500,760.65
437000,760.65
437500,760.65
438000,760.65
438500,760.65
439000,737.00
439500,737.00
440000,737.00
440500,737.00
441000,713.35
441500,737.00
442000,713.35
442500,713.35
443000,713.35
443500,737.00
444000,760.65
444500,737.00
445000,760.65
445500,760.65
446000,760.65
446500,784.29
447000,784.29
447500,784.29
448000,807.94
448500,807.94
449000,807.94
449500,831.59
450000,807.94
450500,831.59
451000,878.89
451500,878.89
452000,855.24
452500,855.24
453000,855.24
453500,855.24
454000,855.24
454500,855.24
455000,855.24
455500,855.24
456000,855.24
456500,855.24
457000,831.59
457500,831.59
458000,831.59
458500,831.59
459000,807.94
459500,807.94
460000,831.59
460500,855.24
461000,831.59
461500,831.59
462000,831.59
462500,831.59
463000,831.59
463500,831.59
464000,855.24
464500,855.24
465000,831.59
465500,831.59
466000,807.94
466500,807.94
467000,831.59
467500,784.29
468000,784.29
468500,760.65
469000,784.29
469500,760.65
470000,737.00
470500,737.00
471000,713.35
471500,713.35
472000,689.71
472500,689.71
473000,666.06
473500,666.06
474000,642.41
474500,642.41
475000,618.76
475500,642.41
476000,642.41
476500,666.06
477000,666.06
477500,666.06
478000,689.71
478500,666.06
479000,689.71
479500,689.71
480000,689.71
480500,713.35
481000,713.35
481500,713.35
482000,737.00
482500,760.65
483000,737.00
483500,737.00
484000,737.00
484500,737.00
485000,737.00
485500,737.00
486000,737.00
486500,737.00
487000,737.00
487500,737.00
488000,737.00
488500,713.35
489000,737.00
489500,737.00
490000,737.00
490500,713.35
491000,737.00
491500,760.65
492000,760.65
492500,760.65
493000,784.29
493500,737.00
494000,784.29
494500,760.65
495000,784.29
495500,784.29
496000,831.59
496500,807.94
497000,807.94
497500,831.59
498000,807.94
498500,831.59
499000,831.59
499500,831.59
500000,807.94
500500,807.94
501000,831.59
501500,807.94
502000,807.94
502500,807.94
503000,807.94
503500,807.94
504000,784.29
504500,784.29
505000,784.29
505500,784.29
506000,760.65
506500,737.00
507000,760.65
507500,784.29
508000,760.65
508500,784.29
509000,784.29
509500,784.29
510000,807.94
510500,807.94
511000,807.94
511500,807.94
512000,831.59
512500,807.94
513000,831.59
513500,855.24
514000,831.59
514500,855.24
515000,855.24
515500,855.24
516000,831.59
516500,831.59
517000,831.59
517500,831.59
518000,807.94
518500,807.94
519000,807.94
519500,807.94
520000,784.29
520500,760.65
521000,784.29
521500,760.65
522000,737.00
522500,760.65
523000,760.65
523500,760.65
524000,760.65
524500,760.65
525000,784.29
525500,784.29
526000,784.29
526500,784.29
527000,784.29
527500,784.29
528000,807.94
528500,807.94
529000,807.94
529500,784.29
530000,784.29
530500,784.29
531000,784.29
531500,760.65
532000,760.65
532500,760.65
533000,760.65
533500,760.65
534000,760.65
534500,737.00
535000,737.00
535500,737.00
536000,713.35
536500,689.71
537000,713.35
537500,689.71
538000,666.06
538500,666.06
539000,666.06
539500,689.71
540000,689.71
540500,713.35
541000,689.71
541500,713.35
542000,713.35
542500,737.00
543000,713.35
543500,713.35
544000,760.65
544500,760.65
545000,737.00
545500,737.00
546000,760.65
546500,760.65
547000,760.65
547500,760.65
548000,784.29
548500,760.65
549000,760.65
549500,760.65
550000,737.00
550500,737.00
551000,737.00
551500,760.65
552000,760.65
552500,737.00
553000,737.00
553500,737.00
554000,737.00
554500,737.00
555000,760.65
555500,760.65
556000,760.65
556500,784.29
557000,760.65
557500,784.29
558000,807.94
558500,784.29
559000,807.94
559500,831.59
560000,831.59
560500,855.24
561000,831.59
561500,855.24
562000,855.24
562500,855.24
563000,855.24
563500,855.24
564000,855.24
564500,855.24
565000,831.59
565500,807.94
566000,831.59
566500,807.94
567000,807.94
567500,784.29
568000,784.29
568500,784.29
569000,784.29
569500,760.65
570000,760.65
570500,737.00
571000,760.65
571500,784.29
572000,760.65
572500,784.29
573000,760.65
573500,784.29
574000,760.65
574500,784.29
575000,784.29
575500,784.29
576000,784.29
576500,784.29
577000,784.29
577500,784.29
578000,807.94
578500,784.29
579000,784.29
579500,760.65
580000,784.29
580500,760.65
581000,784.29
581500,713.35
582000,760.65
582500,737.00
583000,737.00
583500,737.00
584000,713.35
584500,737.00
585000,713.35
585500,713.35
586000,713.35
586500,713.35
587000,713.35
587500,737.00
588000,737.00
588500,737.00
589000,737.00
589500,737.00
590000,760.65
590500,760.65
591000,784.29
591500,784.29
592000,784.29
592500,807.94
593000,784.29
593500,807.94
594000,807.94
594500,807.94
595000,807.94
595500,807.94
596000,807.94
596500,831.59
597000,807.94
597500,807.94
598000,784.29
598500,784.29
599000,784.29
599500,760.65
600000,760.65
600500,760.65
601000,760.65
601500,760.65
602000,737.00
602500,737.00
603000,760.65
603500,784.29
604000,760.65
604500,760.65
605000,784.29
605500,784.29
606000,784.29
606500,784.29
607000,784.29
607500,807.94
608000,807.94
608500,807.94
609000,807.94
609500,807.94
610000,807.94
610500,807.94
611000,807.94
611500,784.29
612000,807.94
612500,807.94
613000,784.29
613500,760.65
614000,760.65
614500,784.29
615000,760.65
615500,737.00
616000,737.00
616500,737.00
617000,760.65
617500,737.00
618000,737.00
618500,737.00
619000,760.65
619500,760.65
620000,737.00
620500,760.65
621000,760.65
621500,760.65
622000,760.65
622500,760.65
623000,784.29
623500,784.29
624000,784.29
624500,807.94
625000,784.29
625500,784.29
626000,784.29
626500,784.29
627000,784.29
627500,760.65
628000,784.29
628500,784.29
629000,760.65
629500,760.65
630000,737.00
630500,760.65
631000,737.00
631500,713.35
632000,737.00
632500,713.35
633000,713.35
633500,713.35
634000,689.71
634500,713.35
635000,737.00
635500,737.00
636000,713.35
636500,737.00
637000,737.00
637500,737.00
638000,737.00
638500,760.65
639000,760.65
639500,760.65
640000,760.65
640500,784.29
641000,760.65
641500,784.29
642000,784.29
642500,784.29
643000,784.29
643500,807.94
644000,784.29
644500,784.29
645000,784.29
645500,784.29
646000,760.65
646500,784.29
647000,760.65
647500,760.65
648000,737.00
648500,760.65
649000,760.65
649500,737.00
650000,737.00
650500,760.65
651000,760.65
651500,784.29
652000,784.29
652500,784.29
653000,784.29
653500,807.94
654000,807.94
654500,807.94
655000,831.59
655500,831.59
656000,855.24
656500,831.59
657000,855.24
657500,855.24
658000,878.89
658500,855.24
659000,855.24
