STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,-3945.16
500,-4016.10
1000,-4016.10
1500,-4016.10
2000,-4039.74
2500,-4016.10
3000,-4039.74
3500,-4039.74
4000,-4063.39
4500,-4063.39
5000,-4039.74
5500,-4016.10
6000,-3992.45
6500,-3945.16
7000,-3921.51
7500,-3968.80
8000,-3921.51
8500,-3897.86
9000,-3897.86
9500,-3874.22
10000,-3850.57
10500,-3826.92
11000,-3803.27
11500,-3803.27
12000,-3779.63
12500,-3779.63
13000,-3779.63
13500,-3803.27
14000,-3874.22
14500,-3874.22
15000,-3897.86
15500,-3897.86
16000,-3945.16
16500,-3968.80
17000,-3968.80
17500,-3968.80
18000,-3992.45
18500,-4016.10
19000,-4016.10
19500,-4016.10
20000,-4039.74
20500,-4016.10
21000,-3968.80
21500,-4016.10
22000,-3968.80
22500,-3921.51
23000,-3945.16
23500,-3945.16
24000,-3968.80
24500,-3945.16
25000,-3921.51
25500,-3945.16
26000,-3921.51
26500,-3897.86
27000,-3874.22
27500,-3874.22
28000,-3850.57
28500,-3874.22
29000,-3826.92
29500,-3874.22
30000,-3945.16
30500,-3921.51
31000,-3968.80
31500,-3968.80
32000,-4016.10
32500,-4063.39
33000,-4063.39
33500,-4063.39
34000,-4063.39
34500,-4087.04
35000,-4087.04
35500,-4087.04
36000,-4110.69
36500,-4063.39
37000,-4087.04
37500,-4110.69
38000,-4063.39
38500,-4039.74
39000,-4016.10
39500,-4039.74
40000,-3992.45
40500,-3945.16
41000,-3968.80
41500,-3968.80
42000,-3921.51
42500,-3921.51
43000,-3921.51
43500,-3897.86
44000,-3874.22
44500,-3826.92
45000,-3874.22
45500,-3945.16
46000,-3945.16
46500,-3945.16
47000,-3945.16
47500,-3945.16
48000,-3992.45
48500,-4016.10
49000,-4016.10
49500,-4016.10
50000,-4039.74
50500,-4039.74
51000,-4016.10
51500,-4039.74
52000,-4063.39
52500,-4016.10
53000,-4016.10
53500,-3992.45
54000,-3968.80
54500,-3968.80
55000,-3945.16
55500,-3945.16
56000,-3921.51
56500,-3921.51
57000,-3874.22
57500,-3874.22
58000,-3826.92
58500,-3826.92
59000,-3850.57
59500,-3826.92
60000,-3826.92
60500,-3779.63
61000,-3803.27
61500,-3850.57
62000,-3850.57
62500,-3874.22
63000,-3897.86
63500,-3897.86
64000,-4016.10
64500,-3968.80
65000,-3968.80
65500,-3992.45
66000,-4016.10
66500,-4016.10
67000,-4039.74
67500,-4063.39
68000,-4016.10
68500,-4016.10
69000,-4039.74
69500,-3921.51
70000,-3945.16
70500,-3921.51
71000,-3968.80
71500,-3945.16
72000,-3945.16
72500,-3945.16
73000,-3968.80
73500,-3968.80
74000,-3897.86
74500,-3874.22
75000,-3897.86
75500,-3850.57
76000,-3850.57
76500,-3826.92
77000,-3850.57
77500,-3921.51
78000,-3921.51
78500,-3945.16
79000,-3968.80
79500,-3992.45
80000,-4039.74
80500,-4039.74
81000,-4039.74
81500,-4039.74
82000,-4087.04
82500,-4087.04
83000,-4087.04
83500,-4110.69
84000,-4063.39
84500,-4063.39
85000,-4134.34
85500,-4063.39
86000,-4039.74
86500,-4016.10
87000,-4039.74
87500,-3968.80
88000,-3945.16
88500,-3968.80
89000,-3968.80
89500,-3945.16
90000,-3945.16
90500,-3921.51
91000,-3921.51
91500,-3897.86
92000,-3897.86
92500,-3874.22
93000,-3897.86
93500,-3945.16
94000,-3968.80
94500,-3992.45
95000,-4016.10
95500,-4016.10
96000,-4039.74
96500,-4039.74
97000,-4039.74
97500,-4039.74
98000,-4063.39
98500,-4063.39
99000,-4087.04
99500,-4134.34
100000,-4063.39
100500,-4039.74
101000,-4016.10
101500,-3992.45
102000,-3968.80
102500,-3897.86
103000,-3968.80
103500,-3945.16
104000,-3921.51
104500,-3921.51
105000,-3921.51
105500,-3897.86
106000,-3850.57
106500,-3850.57
107000,-3826.92
107500,-3803.27
108000,-3803.27
108500,-3779.63
109000,-3826.92
109500,-3826.92
