STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
DONE.
STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,-4820.10
500,-4796.46
1000,-4796.46
1500,-4820.10
2000,-4843.75
2500,-4867.40
3000,-4820.10
3500,-4867.40
4000,-4891.05
4500,-4914.70
5000,-4938.34
5500,-4961.99
6000,-4938.34
6500,-4938.34
7000,-4938.34
7500,-4914.70
8000,-4891.05
8500,-4914.70
9000,-4867.40
9500,-4867.40
10000,-4843.75
10500,-4843.75
11000,-4796.46
11500,-4772.81
12000,-4796.46
12500,-4796.46
13000,-4772.81
13500,-4749.16
14000,-4701.87
14500,-4796.46
15000,-4725.52
15500,-4725.52
16000,-4749.16
16500,-4749.16
17000,-4796.46
17500,-4820.10
18000,-4843.75
18500,-4843.75
19000,-4843.75
19500,-4891.05
20000,-4914.70
20500,-4914.70
21000,-4938.34
21500,-4961.99
22000,-4961.99
22500,-4938.34
23000,-4914.70
23500,-4938.34
24000,-4938.34
24500,-4867.40
25000,-4891.05
25500,-4867.40
26000,-4867.40
26500,-4820.10
27000,-4843.75
27500,-4820.10
28000,-4796.46
28500,-4772.81
29000,-4772.81
29500,-4796.46
30000,-4796.46
30500,-4749.16
31000,-4749.16
31500,-4749.16
32000,-4772.81
32500,-4772.81
33000,-4820.10
33500,-4843.75
34000,-4843.75
34500,-4843.75
35000,-4891.05
35500,-4914.70
36000,-4938.34
36500,-4938.34
37000,-4938.34
37500,-4961.99
38000,-4985.64
38500,-4961.99
39000,-4938.34
39500,-4938.34
40000,-4914.70
40500,-4938.34
41000,-4891.05
41500,-4843.75
42000,-4867.40
42500,-4843.75
43000,-4820.10
43500,-4820.10
44000,-4725.52
44500,-4772.81
45000,-4749.16
45500,-4796.46
46000,-4772.81
46500,-4725.52
47000,-4772.81
47500,-4843.75
48000,-4843.75
48500,-4820.10
49000,-4843.75
49500,-4843.75
50000,-4796.46
50500,-4796.46
51000,-4843.75
51500,-4843.75
52000,-4867.40
52500,-4843.75
53000,-4867.40
53500,-4843.75
54000,-4891.05
54500,-4867.40
55000,-4843.75
55500,-4843.75
56000,-4843.75
56500,-4843.75
57000,-4820.10
57500,-4820.10
58000,-4820.10
58500,-4725.52
59000,-4796.46
59500,-4772.81
60000,-4796.46
60500,-4796.46
61000,-4772.81
61500,-4772.81
62000,-4772.81
62500,-4843.75
63000,-4796.46
63500,-4772.81
64000,-4772.81
64500,-4796.46
65000,-4796.46
65500,-4796.46
66000,-4796.46
66500,-4820.10
67000,-4820.10
67500,-4820.10
68000,-4843.75
68500,-4843.75
69000,-4891.05
69500,-4867.40
70000,-4843.75
70500,-4843.75
71000,-4843.75
71500,-4843.75
72000,-4843.75
72500,-4843.75
73000,-4820.10
73500,-4820.10
74000,-4820.10
74500,-4796.46
75000,-4796.46
75500,-4796.46
76000,-4796.46
76500,-4796.46
77000,-4820.10
77500,-4820.10
78000,-4796.46
78500,-4772.81
79000,-4772.81
79500,-4772.81
80000,-4772.81
80500,-4796.46
81000,-4820.10
81500,-4820.10
82000,-4820.10
82500,-4843.75
83000,-4843.75
83500,-4843.75
84000,-4843.75
84500,-4867.40
85000,-4867.40
85500,-4891.05
86000,-4843.75
86500,-4843.75
87000,-4843.75
87500,-4843.75
88000,-4867.40
88500,-4820.10
89000,-4820.10
89500,-4820.10
90000,-4820.10
90500,-4796.46
91000,-4796.46
91500,-4843.75
92000,-4820.10
92500,-4796.46
93000,-4772.81
93500,-4749.16
94000,-4772.81
94500,-4749.16
95000,-4772.81
95500,-4796.46
96000,-4796.46
96500,-4820.10
97000,-4820.10
97500,-4843.75
98000,-4820.10
98500,-4843.75
99000,-4820.10
99500,-4843.75
100000,-4843.75
100500,-4867.40
101000,-4843.75
101500,-4867.40
102000,-4867.40
102500,-4867.40
103000,-4843.75
103500,-4843.75
104000,-4843.75
104500,-4820.10
105000,-4820.10
105500,-4820.10
106000,-4843.75
106500,-4843.75
107000,-4796.46
107500,-4772.81
108000,-4772.81
108500,-4772.81
109000,-4749.16
109500,-4749.16
110000,-4796.46
110500,-4772.81
111000,-4796.46
111500,-4796.46
112000,-4796.46
112500,-4820.10
113000,-4796.46
113500,-4820.10
114000,-4820.10
114500,-4820.10
115000,-4843.75
115500,-4843.75
116000,-4891.05
116500,-4820.10
117000,-4843.75
117500,-4843.75
118000,-4843.75
118500,-4820.10
119000,-4796.46
119500,-4820.10
120000,-4820.10
120500,-4796.46
121000,-4772.81
121500,-4796.46
122000,-4772.81
122500,-4749.16
123000,-4772.81
123500,-4749.16
124000,-4772.81
124500,-4749.16
125000,-4725.52
125500,-4772.81
126000,-4749.16
126500,-4772.81
127000,-4749.16
127500,-4772.81
128000,-4772.81
128500,-4796.46
129000,-4796.46
129500,-4796.46
130000,-4796.46
130500,-4843.75
131000,-4820.10
131500,-4820.10
132000,-4796.46
132500,-4820.10
133000,-4843.75
133500,-4796.46
134000,-4796.46
134500,-4820.10
135000,-4796.46
135500,-4796.46
136000,-4796.46
136500,-4796.46
137000,-4772.81
137500,-4772.81
138000,-4772.81
138500,-4772.81
139000,-4772.81
139500,-4772.81
140000,-4749.16
140500,-4749.16
141000,-4749.16
141500,-4749.16
142000,-4749.16
142500,-4772.81
143000,-4749.16
143500,-4772.81
144000,-4772.81
144500,-4796.46
145000,-4796.46
145500,-4796.46
146000,-4796.46
146500,-4820.10
147000,-4820.10
147500,-4843.75
148000,-4843.75
148500,-4843.75
149000,-4843.75
149500,-4843.75
150000,-4843.75
150500,-4820.10
151000,-4820.10
151500,-4820.10
152000,-4796.46
152500,-4796.46
153000,-4796.46
153500,-4820.10
154000,-4820.10
154500,-4772.81
155000,-4772.81
155500,-4772.81
156000,-4772.81
156500,-4749.16
157000,-4772.81
157500,-4772.81
158000,-4772.81
158500,-4772.81
159000,-4772.81
159500,-4796.46
160000,-4820.10
160500,-4796.46
161000,-4796.46
161500,-4820.10
162000,-4820.10
162500,-4843.75
163000,-4796.46
163500,-4867.40
164000,-4843.75
164500,-4867.40
165000,-4867.40
165500,-4843.75
166000,-4796.46
166500,-4820.10
167000,-4820.10
167500,-4820.10
168000,-4820.10
168500,-4796.46
169000,-4796.46
169500,-4796.46
170000,-4772.81
170500,-4796.46
171000,-4749.16
171500,-4772.81
172000,-4772.81
172500,-4772.81
173000,-4749.16
173500,-4796.46
174000,-4772.81
174500,-4867.40
175000,-4820.10
175500,-4796.46
176000,-4796.46
176500,-4796.46
177000,-4796.46
177500,-4820.10
178000,-4820.10
178500,-4796.46
179000,-4843.75
179500,-4843.75
180000,-4843.75
180500,-4843.75
181000,-4867.40
181500,-4867.40
182000,-4843.75
182500,-4843.75
183000,-4820.10
183500,-4820.10
184000,-4796.46
184500,-4796.46
185000,-4820.10
185500,-4796.46
186000,-4749.16
186500,-4749.16
187000,-4772.81
187500,-4796.46
188000,-4772.81
188500,-4749.16
189000,-4772.81
189500,-4772.81
190000,-4772.81
190500,-4772.81
191000,-4796.46
191500,-4796.46
192000,-4796.46
192500,-4796.46
193000,-4820.10
193500,-4820.10
194000,-4820.10
194500,-4820.10
195000,-4843.75
195500,-4867.40
196000,-4891.05
196500,-4867.40
197000,-4843.75
197500,-4820.10
198000,-4820.10
198500,-4820.10
199000,-4820.10
199500,-4796.46
200000,-4796.46
200500,-4772.81
201000,-4772.81
201500,-4749.16
202000,-4772.81
202500,-4772.81
203000,-4796.46
203500,-4772.81
204000,-4749.16
204500,-4749.16
205000,-4772.81
205500,-4796.46
206000,-4772.81
206500,-4772.81
207000,-4749.16
207500,-4772.81
208000,-4796.46
208500,-4796.46
209000,-4820.10
209500,-4843.75
210000,-4843.75
210500,-4843.75
211000,-4843.75
211500,-4867.40
212000,-4867.40
212500,-4867.40
213000,-4843.75
213500,-4843.75
214000,-4843.75
214500,-4867.40
215000,-4843.75
215500,-4820.10
216000,-4820.10
216500,-4843.75
217000,-4820.10
217500,-4796.46
218000,-4820.10
218500,-4820.10
219000,-4820.10
219500,-4796.46
220000,-4796.46
220500,-4820.10
221000,-4820.10
221500,-4843.75
222000,-4820.10
222500,-4867.40
223000,-4867.40
223500,-4867.40
224000,-4867.40
224500,-4867.40
225000,-4867.40
225500,-4891.05
226000,-4891.05
226500,-4891.05
227000,-4891.05
227500,-4914.70
228000,-4914.70
228500,-4914.70
229000,-4867.40
229500,-4891.05
230000,-4891.05
230500,-4891.05
231000,-4867.40
231500,-4843.75
232000,-4867.40
232500,-4843.75
233000,-4820.10
233500,-4843.75
234000,-4820.10
234500,-4820.10
235000,-4820.10
235500,-4796.46
236000,-4796.46
236500,-4820.10
237000,-4796.46
237500,-4820.10
238000,-4820.10
238500,-4820.10
239000,-4843.75
239500,-4843.75
240000,-4820.10
240500,-4843.75
241000,-4867.40
241500,-4843.75
242000,-4843.75
242500,-4867.40
243000,-4867.40
243500,-4867.40
244000,-4891.05
244500,-4867.40
245000,-4867.40
245500,-4867.40
246000,-4843.75
246500,-4843.75
247000,-4820.10
247500,-4820.10
248000,-4820.10
248500,-4820.10
249000,-4796.46
249500,-4796.46
250000,-4796.46
250500,-4796.46
251000,-4772.81
251500,-4796.46
252000,-4772.81
252500,-4796.46
253000,-4820.10
