STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,-3968.80
500,-3992.45
1000,-3968.80
1500,-3968.80
2000,-3968.80
2500,-3992.45
3000,-3992.45
3500,-3992.45
4000,-4016.10
4500,-4016.10
5000,-4039.74
5500,-4039.74
6000,-4039.74
6500,-4039.74
7000,-4039.74
7500,-4039.74
8000,-4039.74
8500,-4039.74
9000,-4063.39
9500,-4016.10
10000,-4016.10
10500,-4016.10
11000,-4016.10
11500,-4039.74
12000,-4016.10
12500,-4016.10
13000,-4016.10
13500,-4016.10
14000,-3992.45
14500,-4016.10
15000,-4016.10
15500,-4039.74
16000,-4016.10
16500,-3968.80
17000,-3968.80
17500,-3968.80
18000,-3992.45
18500,-4016.10
19000,-4016.10
19500,-4039.74
20000,-4016.10
20500,-4063.39
21000,-4063.39
21500,-4063.39
22000,-4039.74
22500,-4063.39
23000,-4063.39
23500,-4087.04
24000,-4087.04
24500,-4039.74
25000,-4016.10
25500,-4016.10
26000,-4039.74
26500,-4016.10
27000,-4039.74
27500,-4039.74
28000,-4016.10
28500,-3992.45
29000,-4039.74
29500,-4016.10
30000,-3992.45
30500,-4016.10
31000,-4016.10
31500,-3992.45
32000,-3968.80
32500,-3968.80
33000,-3968.80
33500,-3968.80
34000,-3992.45
34500,-4016.10
35000,-4016.10
35500,-4016.10
36000,-4016.10
36500,-4039.74
37000,-4039.74
37500,-4039.74
38000,-4039.74
38500,-4063.39
39000,-4063.39
39500,-4063.39
40000,-4039.74
40500,-4039.74
41000,-4039.74
41500,-4016.10
42000,-4016.10
42500,-4016.10
43000,-4016.10
43500,-4016.10
44000,-3992.45
44500,-4016.10
45000,-3992.45
45500,-3992.45
46000,-3992.45
46500,-4016.10
47000,-4016.10
47500,-4016.10
48000,-3968.80
48500,-3992.45
49000,-3968.80
49500,-3968.80
50000,-3992.45
50500,-4016.10
51000,-4016.10
51500,-4016.10
52000,-4039.74
52500,-4039.74
53000,-4039.74
53500,-4039.74
54000,-4063.39
54500,-4039.74
55000,-4039.74
55500,-4039.74
56000,-4063.39
56500,-4039.74
57000,-4039.74
57500,-4016.10
58000,-4016.10
58500,-4016.10
59000,-4016.10
59500,-3992.45
60000,-4039.74
60500,-4016.10
61000,-4016.10
61500,-4016.10
62000,-3992.45
62500,-3992.45
63000,-3992.45
63500,-3968.80
64000,-3968.80
64500,-3992.45
65000,-3992.45
65500,-3992.45
66000,-4016.10
66500,-4016.10
67000,-3992.45
67500,-4016.10
68000,-4039.74
68500,-4039.74
69000,-4039.74
69500,-4016.10
70000,-4039.74
70500,-4039.74
71000,-4039.74
71500,-4063.39
72000,-4063.39
72500,-4016.10
73000,-4039.74
73500,-4039.74
74000,-4039.74
74500,-4016.10
75000,-4016.10
75500,-4016.10
76000,-4016.10
76500,-4016.10
77000,-3992.45
77500,-3992.45
78000,-4016.10
78500,-4016.10
79000,-4039.74
79500,-4016.10
80000,-3968.80
80500,-3968.80
81000,-3992.45
81500,-3992.45
82000,-3992.45
82500,-4016.10
83000,-4016.10
83500,-4039.74
84000,-4039.74
84500,-4039.74
85000,-4063.39
85500,-4063.39
86000,-4063.39
86500,-4063.39
87000,-4063.39
87500,-4063.39
88000,-4039.74
88500,-4039.74
89000,-4016.10
89500,-4039.74
90000,-4016.10
90500,-4016.10
91000,-4016.10
91500,-4016.10
