STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,997.12
500,1044.41
1000,973.47
1500,1068.06
2000,1091.71
2500,1115.36
3000,1115.36
3500,1139.01
4000,1115.36
4500,1115.36
5000,1115.36
5500,1115.36
6000,1115.36
6500,1115.36
7000,1091.71
7500,1091.71
8000,1091.71
8500,1091.71
9000,1091.71
9500,1091.71
10000,1115.36
10500,1115.36
11000,1115.36
11500,1091.71
12000,1068.06
12500,1068.06
13000,1091.71
13500,1091.71
14000,1091.71
14500,1091.71
15000,1162.65
15500,1162.65
16000,1115.36
16500,1115.36
17000,1115.36
17500,1139.01
18000,1139.01
18500,1115.36
19000,1115.36
19500,1162.65
20000,1139.01
20500,1115.36
21000,1139.01
21500,1115.36
22000,1139.01
22500,1115.36
23000,1115.36
23500,1139.01
24000,1139.01
24500,1139.01
25000,1115.36
25500,1139.01
26000,1139.01
26500,1139.01
27000,1162.65
27500,1139.01
28000,1139.01
28500,1139.01
29000,1139.01
29500,1139.01
30000,1115.36
30500,1115.36
31000,1139.01
31500,1115.36
32000,1139.01
32500,1115.36
33000,1139.01
33500,1115.36
34000,1115.36
34500,1115.36
35000,1139.01
35500,1115.36
36000,1115.36
36500,1139.01
37000,1115.36
37500,1115.36
38000,1115.36
38500,1115.36
39000,1139.01
39500,1139.01
40000,1139.01
40500,1139.01
41000,1139.01
41500,1139.01
42000,1139.01
42500,1139.01
43000,1139.01
43500,1139.01
44000,1139.01
44500,1139.01
45000,1139.01
45500,1139.01
46000,1139.01
46500,1139.01
47000,1162.65
47500,1162.65
48000,1139.01
48500,1139.01
49000,1162.65
49500,1162.65
50000,1162.65
50500,1139.01
51000,1139.01
51500,1139.01
52000,1139.01
52500,1115.36
53000,1139.01
53500,1115.36
54000,1139.01
54500,1162.65
55000,1162.65
55500,1162.65
56000,1162.65
56500,1162.65
57000,1139.01
57500,1162.65
58000,1139.01
58500,1162.65
59000,1139.01
59500,1044.41
60000,1091.71
60500,1139.01
61000,1139.01
61500,1139.01
62000,1139.01
62500,1233.59
63000,1186.30
63500,1139.01
64000,1139.01
64500,1139.01
65000,1162.65
65500,1139.01
66000,1139.01
66500,1162.65
67000,1186.30
67500,1162.65
68000,1162.65
68500,1162.65
69000,1186.30
69500,1162.65
70000,1162.65
70500,1162.65
71000,1162.65
71500,1186.30
72000,1186.30
72500,1162.65
73000,1186.30
73500,1162.65
74000,1186.30
74500,1162.65
75000,1162.65
75500,1162.65
76000,1162.65
76500,1162.65
77000,1328.18
77500,1209.95
78000,1209.95
78500,1162.65
79000,1139.01
79500,1162.65
80000,1091.71
80500,1139.01
81000,1044.41
81500,1115.36
82000,1139.01
82500,1186.30
83000,1162.65
83500,1162.65
84000,1139.01
84500,1162.65
85000,1162.65
85500,1139.01
86000,1139.01
86500,1162.65
87000,1162.65
87500,1162.65
88000,1139.01
88500,1139.01
89000,1139.01
89500,1162.65
90000,1139.01
90500,1115.36
91000,1139.01
91500,1139.01
92000,1115.36
92500,1139.01
93000,1139.01
93500,1139.01
94000,1162.65
94500,1139.01
95000,1139.01
95500,1162.65
96000,1162.65
96500,1162.65
97000,1139.01
97500,1162.65
98000,1162.65
98500,1209.95
99000,1186.30
99500,1186.30
100000,1186.30
100500,1186.30
101000,1186.30
101500,1186.30
102000,1186.30
102500,1186.30
103000,1209.95
103500,1209.95
104000,1186.30
104500,1186.30
105000,1186.30
105500,1209.95
106000,1162.65
106500,1162.65
107000,1044.41
107500,1115.36
108000,1139.01
108500,1139.01
109000,1139.01
109500,1209.95
110000,1304.54
110500,1209.95
111000,1162.65
111500,1162.65
112000,1162.65
112500,1162.65
113000,1162.65
113500,1139.01
114000,1162.65
114500,1139.01
115000,1139.01
115500,1115.36
116000,1139.01
116500,1139.01
117000,1162.65
117500,1139.01
118000,1162.65
118500,1139.01
119000,1162.65
119500,1162.65
120000,1162.65
120500,1162.65
121000,1186.30
121500,1186.30
122000,1139.01
122500,1186.30
123000,1162.65
123500,1162.65
124000,1162.65
124500,1162.65
125000,1162.65
125500,1162.65
126000,1162.65
126500,1162.65
127000,1162.65
127500,1139.01
128000,1162.65
128500,1162.65
129000,1162.65
129500,1162.65
130000,1162.65
130500,1162.65
131000,1162.65
131500,1139.01
132000,1162.65
132500,1139.01
133000,1115.36
133500,1139.01
134000,1162.65
134500,1139.01
135000,1162.65
135500,1139.01
136000,1115.36
136500,1139.01
137000,1139.01
137500,1139.01
138000,1115.36
138500,1139.01
139000,1115.36
139500,1139.01
140000,1139.01
140500,1139.01
141000,1139.01
141500,1115.36
142000,1139.01
142500,1115.36
143000,1115.36
143500,1139.01
144000,1139.01
144500,1162.65
145000,1115.36
145500,1139.01
146000,1162.65
146500,1115.36
147000,1139.01
147500,1139.01
148000,1115.36
148500,1139.01
149000,1115.36
149500,1139.01
150000,1139.01
150500,1115.36
151000,1115.36
151500,1139.01
152000,1115.36
152500,1115.36
153000,1139.01
153500,1091.71
154000,1162.65
154500,1139.01
155000,1139.01
155500,1139.01
156000,1115.36
156500,1115.36
157000,1044.41
157500,1091.71
158000,1115.36
158500,1115.36
159000,1139.01
159500,1139.01
160000,1139.01
160500,1139.01
161000,1115.36
161500,1139.01
162000,1139.01
162500,1115.36
163000,1139.01
163500,1115.36
164000,1139.01
164500,1115.36
165000,1115.36
165500,1115.36
166000,1139.01
166500,1115.36
167000,1115.36
167500,1115.36
168000,1115.36
168500,1115.36
169000,1115.36
169500,1091.71
170000,1115.36
170500,1115.36
171000,1115.36
171500,1091.71
172000,1091.71
172500,1091.71
173000,1091.71
173500,1115.36
174000,1115.36
174500,1091.71
175000,1091.71
175500,1091.71
176000,1091.71
176500,1091.71
177000,1091.71
177500,1115.36
178000,1091.71
178500,1115.36
179000,1091.71
179500,1091.71
180000,1091.71
180500,1091.71
181000,1091.71
181500,1091.71
182000,1091.71
182500,1091.71
183000,1068.06
183500,1091.71
184000,1091.71
184500,1091.71
185000,1091.71
185500,1068.06
186000,1068.06
186500,1115.36
187000,1115.36
187500,1068.06
188000,1068.06
188500,1044.41
189000,1068.06
189500,1068.06
190000,973.47
190500,997.12
191000,1044.41
191500,1068.06
192000,1068.06
192500,1068.06
193000,1186.30
193500,1139.01
194000,1091.71
194500,1091.71
195000,1068.06
195500,1091.71
196000,1091.71
196500,1068.06
197000,1091.71
197500,1091.71
198000,1091.71
198500,1091.71
199000,1044.41
199500,1068.06
200000,1091.71
200500,1115.36
201000,1068.06
201500,1091.71
202000,1068.06
202500,1091.71
203000,1091.71
203500,1068.06
204000,1068.06
204500,1091.71
205000,1068.06
205500,1091.71
206000,1091.71
206500,1091.71
207000,1091.71
207500,1091.71
208000,1091.71
208500,1091.71
209000,1115.36
209500,1091.71
210000,1091.71
210500,1068.06
211000,1091.71
211500,1020.77
212000,855.24
212500,855.24
213000,1091.71
213500,1115.36
214000,1091.71
