STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,571.47
500,547.82
1000,547.82
1500,547.82
2000,571.47
2500,547.82
3000,547.82
3500,595.12
4000,595.12
4500,571.47
5000,595.12
5500,595.12
6000,595.12
6500,595.12
7000,547.82
7500,595.12
8000,618.76
8500,642.41
9000,642.41
9500,642.41
10000,666.06
10500,666.06
11000,666.06
11500,713.35
12000,713.35
12500,618.76
13000,618.76
13500,618.76
14000,595.12
14500,571.47
15000,524.18
15500,571.47
16000,571.47
16500,595.12
17000,571.47
17500,571.47
18000,595.12
18500,571.47
19000,595.12
19500,618.76
20000,595.12
20500,595.12
21000,595.12
21500,595.12
22000,571.47
22500,571.47
23000,571.47
23500,571.47
24000,547.82
24500,524.18
25000,547.82
25500,547.82
26000,524.18
26500,500.53
27000,476.88
27500,476.88
28000,500.53
28500,500.53
29000,524.18
29500,524.18
30000,524.18
30500,524.18
31000,547.82
31500,524.18
32000,547.82
32500,595.12
33000,713.35
33500,595.12
34000,571.47
34500,571.47
35000,618.76
35500,595.12
36000,547.82
36500,595.12
37000,618.76
37500,595.12
38000,642.41
38500,642.41
39000,618.76
39500,642.41
40000,642.41
40500,642.41
41000,666.06
41500,642.41
42000,666.06
42500,666.06
43000,666.06
43500,642.41
44000,666.06
44500,618.76
45000,618.76
45500,642.41
46000,666.06
46500,666.06
47000,666.06
47500,784.29
48000,713.35
48500,642.41
49000,642.41
49500,642.41
50000,642.41
50500,618.76
51000,595.12
51500,618.76
52000,642.41
52500,642.41
53000,642.41
53500,642.41
54000,642.41
54500,642.41
55000,618.76
55500,618.76
56000,618.76
56500,595.12
57000,618.76
57500,595.12
58000,595.12
58500,571.47
59000,547.82
59500,524.18
60000,547.82
60500,571.47
61000,595.12
61500,595.12
62000,689.71
62500,713.35
63000,642.41
63500,595.12
64000,618.76
64500,618.76
65000,618.76
65500,524.18
66000,524.18
66500,571.47
67000,618.76
67500,618.76
68000,642.41
68500,760.65
69000,689.71
69500,666.06
70000,642.41
70500,642.41
71000,666.06
71500,642.41
72000,642.41
72500,618.76
73000,618.76
73500,618.76
74000,595.12
74500,618.76
75000,618.76
75500,642.41
76000,642.41
76500,642.41
77000,642.41
77500,642.41
78000,642.41
78500,642.41
79000,642.41
79500,642.41
80000,642.41
80500,642.41
81000,642.41
81500,642.41
82000,642.41
82500,666.06
83000,666.06
83500,666.06
84000,689.71
84500,666.06
85000,689.71
85500,689.71
86000,689.71
86500,689.71
87000,689.71
87500,689.71
88000,689.71
88500,666.06
89000,689.71
89500,666.06
90000,642.41
90500,666.06
91000,642.41
91500,713.35
92000,713.35
92500,666.06
93000,666.06
93500,666.06
94000,642.41
94500,666.06
95000,618.76
95500,666.06
96000,642.41
96500,666.06
97000,666.06
97500,666.06
98000,666.06
98500,689.71
99000,689.71
99500,689.71
100000,713.35
100500,713.35
101000,713.35
101500,666.06
102000,666.06
102500,737.00
103000,737.00
103500,737.00
104000,713.35
104500,713.35
105000,737.00
105500,713.35
106000,713.35
106500,784.29
107000,737.00
107500,737.00
108000,737.00
108500,713.35
109000,713.35
109500,760.65
110000,713.35
110500,689.71
111000,689.71
111500,689.71
112000,689.71
112500,666.06
113000,642.41
113500,666.06
114000,689.71
114500,689.71
115000,689.71
115500,666.06
116000,689.71
116500,666.06
117000,689.71
117500,689.71
118000,666.06
118500,642.41
119000,666.06
119500,666.06
120000,642.41
120500,666.06
121000,666.06
121500,666.06
122000,642.41
122500,642.41
123000,666.06
123500,689.71
124000,642.41
124500,666.06
125000,666.06
125500,642.41
126000,666.06
126500,666.06
127000,666.06
127500,666.06
128000,666.06
128500,666.06
129000,642.41
129500,642.41
130000,689.71
130500,689.71
131000,689.71
131500,689.71
132000,689.71
132500,689.71
133000,689.71
133500,689.71
134000,689.71
134500,689.71
135000,666.06
135500,666.06
136000,689.71
136500,666.06
137000,666.06
137500,689.71
138000,642.41
138500,666.06
139000,642.41
139500,689.71
140000,666.06
140500,666.06
141000,666.06
141500,642.41
142000,666.06
142500,666.06
143000,666.06
143500,642.41
144000,642.41
144500,642.41
145000,666.06
145500,666.06
146000,666.06
146500,666.06
147000,642.41
147500,642.41
148000,642.41
148500,642.41
149000,642.41
149500,642.41
150000,618.76
150500,642.41
151000,666.06
151500,642.41
152000,666.06
152500,642.41
153000,666.06
153500,642.41
154000,618.76
154500,666.06
155000,642.41
155500,642.41
156000,642.41
156500,666.06
157000,642.41
157500,642.41
158000,618.76
158500,642.41
159000,642.41
159500,642.41
160000,666.06
160500,618.76
161000,642.41
161500,642.41
162000,642.41
162500,642.41
163000,642.41
163500,642.41
164000,642.41
164500,642.41
165000,642.41
165500,618.76
166000,642.41
166500,642.41
167000,642.41
167500,642.41
168000,618.76
168500,618.76
169000,618.76
169500,618.76
170000,595.12
170500,595.12
171000,595.12
171500,571.47
172000,595.12
172500,571.47
173000,595.12
173500,595.12
174000,595.12
174500,571.47
175000,524.18
175500,547.82
176000,571.47
176500,571.47
177000,571.47
177500,595.12
178000,760.65
178500,642.41
179000,618.76
179500,595.12
180000,595.12
180500,618.76
181000,571.47
181500,571.47
182000,571.47
182500,595.12
183000,618.76
183500,618.76
184000,618.76
184500,595.12
185000,595.12
185500,595.12
186000,595.12
186500,476.88
187000,524.18
187500,571.47
188000,571.47
188500,618.76
189000,595.12
189500,760.65
190000,666.06
190500,618.76
191000,618.76
191500,595.12
192000,618.76
192500,595.12
193000,595.12
193500,618.76
194000,618.76
194500,618.76
195000,618.76
195500,618.76
196000,595.12
196500,595.12
197000,618.76
197500,618.76
198000,618.76
198500,618.76
199000,595.12
199500,618.76
200000,618.76
200500,595.12
201000,737.00
201500,642.41
202000,618.76
202500,571.47
203000,571.47
203500,547.82
204000,476.88
204500,524.18
205000,429.58
205500,500.53
206000,547.82
206500,524.18
207000,524.18
207500,524.18
208000,524.18
208500,524.18
209000,547.82
209500,547.82
210000,547.82
210500,524.18
211000,524.18
211500,547.82
212000,524.18
212500,500.53
213000,524.18
213500,524.18
214000,524.18
214500,524.18
215000,524.18
215500,524.18
216000,524.18
216500,524.18
217000,500.53
217500,500.53
218000,524.18
218500,500.53
219000,524.18
219500,524.18
220000,500.53
220500,500.53
221000,500.53
221500,500.53
222000,524.18
222500,524.18
223000,500.53
223500,500.53
224000,524.18
224500,524.18
225000,524.18
225500,524.18
226000,524.18
226500,524.18
227000,524.18
227500,524.18
228000,547.82
228500,547.82
229000,524.18
229500,524.18
230000,524.18
230500,524.18
231000,524.18
231500,524.18
232000,524.18
232500,524.18
233000,524.18
233500,524.18
234000,453.24
234500,476.88
235000,500.53
235500,524.18
236000,500.53
236500,524.18
237000,571.47
237500,524.18
238000,500.53
238500,500.53
239000,524.18
239500,500.53
240000,476.88
240500,500.53
241000,500.53
241500,476.88
242000,500.53
242500,500.53
243000,524.18
243500,500.53
244000,500.53
244500,500.53
245000,500.53
245500,500.53
246000,500.53
246500,524.18
247000,524.18
247500,524.18
248000,524.18
248500,524.18
249000,524.18
249500,500.53
250000,500.53
250500,500.53
251000,500.53
251500,524.18
252000,547.82
252500,524.18
253000,524.18
253500,500.53
254000,524.18
254500,524.18
255000,524.18
255500,500.53
256000,500.53
256500,524.18
257000,500.53
257500,524.18
258000,524.18
258500,500.53
259000,524.18
259500,524.18
260000,500.53
260500,500.53
261000,524.18
261500,524.18
262000,500.53
262500,500.53
263000,500.53
263500,524.18
264000,500.53
264500,476.88
265000,476.88
265500,500.53
266000,547.82
266500,547.82
267000,547.82
267500,500.53
268000,476.88
268500,476.88
269000,453.24
269500,405.94
270000,405.94
270500,429.58
271000,476.88
271500,476.88
272000,500.53
272500,500.53
273000,476.88
273500,476.88
274000,476.88
274500,500.53
275000,524.18
275500,524.18
276000,618.76
276500,547.82
277000,524.18
277500,524.18
278000,500.53
278500,524.18
279000,524.18
279500,524.18
280000,524.18
280500,524.18
281000,476.88
281500,500.53
282000,547.82
282500,524.18
283000,547.82
283500,547.82
284000,547.82
284500,547.82
285000,571.47
285500,547.82
286000,547.82
286500,547.82
287000,571.47
287500,571.47
288000,595.12
288500,595.12
289000,595.12
289500,571.47
290000,595.12
290500,595.12
291000,571.47
291500,571.47
292000,595.12
292500,571.47
293000,595.12
293500,595.12
294000,595.12
294500,595.12
295000,571.47
295500,571.47
296000,524.18
296500,524.18
297000,571.47
297500,571.47
298000,571.47
298500,571.47
299000,618.76
299500,595.12
300000,547.82
300500,524.18
301000,524.18
301500,547.82
302000,524.18
302500,524.18
303000,547.82
303500,547.82
304000,547.82
304500,524.18
305000,571.47
305500,547.82
306000,547.82
306500,547.82
307000,571.47
307500,547.82
308000,571.47
308500,571.47
309000,547.82
309500,571.47
310000,571.47
310500,571.47
311000,571.47
311500,571.47
312000,547.82
312500,524.18
313000,547.82
313500,547.82
314000,476.88
314500,500.53
315000,524.18
315500,547.82
316000,547.82
316500,547.82
317000,571.47
317500,547.82
318000,524.18
318500,547.82
319000,547.82
319500,571.47
320000,689.71
320500,618.76
321000,571.47
321500,571.47
322000,571.47
322500,571.47
323000,547.82
323500,547.82
324000,571.47
324500,571.47
325000,571.47
325500,595.12
326000,571.47
326500,595.12
327000,595.12
327500,595.12
328000,595.12
328500,595.12
329000,618.76
329500,595.12
330000,618.76
330500,595.12
331000,618.76
331500,618.76
332000,618.76
332500,618.76
333000,618.76
333500,618.76
334000,618.76
334500,618.76
335000,618.76
335500,642.41
336000,642.41
336500,642.41
337000,642.41
337500,642.41
338000,642.41
338500,642.41
339000,666.06
339500,642.41
340000,666.06
340500,666.06
341000,666.06
341500,666.06
342000,666.06
342500,666.06
343000,642.41
343500,642.41
344000,666.06
344500,666.06
345000,666.06
345500,642.41
346000,666.06
346500,713.35
347000,666.06
347500,666.06
348000,666.06
348500,642.41
349000,666.06
349500,595.12
350000,642.41
350500,642.41
351000,642.41
351500,642.41
352000,666.06
352500,666.06
353000,666.06
353500,666.06
354000,666.06
354500,642.41
355000,666.06
355500,642.41
356000,642.41
356500,666.06
357000,642.41
357500,666.06
358000,642.41
358500,642.41
359000,642.41
359500,618.76
360000,642.41
360500,642.41
361000,618.76
361500,571.47
362000,618.76
362500,618.76
363000,642.41
363500,642.41
364000,713.35
364500,737.00
365000,642.41
365500,642.41
366000,642.41
366500,666.06
367000,666.06
367500,595.12
368000,642.41
368500,642.41
369000,666.06
369500,666.06
370000,666.06
370500,689.71
371000,666.06
371500,666.06
372000,689.71
372500,689.71
373000,666.06
373500,689.71
374000,689.71
374500,689.71
375000,666.06
375500,666.06
376000,689.71
376500,689.71
377000,689.71
377500,689.71
378000,713.35
378500,689.71
379000,689.71
379500,689.71
380000,689.71
380500,666.06
381000,689.71
381500,689.71
382000,689.71
382500,689.71
383000,689.71
383500,689.71
384000,713.35
384500,689.71
385000,713.35
385500,642.41
386000,642.41
386500,689.71
387000,689.71
387500,713.35
388000,689.71
388500,689.71
389000,713.35
389500,689.71
390000,689.71
390500,831.59
