STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,10361.44
500,10526.97
1000,10739.79
1500,11070.85
2000,11472.86
2500,11567.44
3000,11993.10
3500,12631.57
4000,12631.57
4500,12584.28
5000,11898.51
5500,11094.50
6000,10550.61
6500,10385.08
7000,10006.73
7500,9060.84
8000,8469.66
8500,8564.24
9000,8540.60
9500,8304.12
10000,7925.77
10500,7925.77
11000,7050.82
11500,8185.89
12000,9037.19
12500,9060.84
13000,9297.31
13500,9486.49
14000,9652.02
14500,9746.61
15000,9888.49
15500,10172.26
16000,10385.08
16500,10526.97
17000,10787.09
17500,11141.79
18000,11496.50
18500,11496.50
19000,12324.16
19500,12631.57
20000,12655.22
20500,12513.34
21000,11638.39
21500,11047.21
22000,10479.67
22500,10219.55
23000,9770.25
23500,8800.71
24000,8635.19
24500,8611.54
25000,8469.66
25500,8209.54
26000,7949.42
26500,8044.00
27000,7169.06
27500,8540.60
28000,9037.19
28500,9131.78
29000,9368.25
29500,9581.08
30000,9722.96
30500,9793.90
31000,9959.43
31500,10243.20
32000,10385.08
32500,10621.55
33000,10905.32
33500,11212.74
34000,11425.56
34500,11543.80
35000,12395.10
35500,12395.10
36000,12607.92
36500,12276.86
37000,11307.33
37500,10763.44
38000,10408.73
38500,10172.26
39000,9533.78
39500,8800.71
40000,8753.42
40500,8587.89
41000,8375.07
41500,7807.53
42000,7878.47
42500,7925.77
43000,7098.12
43500,8658.83
44000,9037.19
44500,9179.07
45000,9415.54
45500,9628.37
46000,9699.31
46500,9817.55
47000,10054.02
47500,10266.84
48000,10432.38
48500,10716.14
49000,10976.27
49500,11378.27
50000,11543.80
50500,11969.45
51000,12607.92
51500,12560.63
52000,12560.63
52500,11993.10
53000,11189.09
53500,10597.91
54000,10385.08
54500,10054.02
55000,9108.13
55500,8611.54
56000,8635.19
56500,8540.60
57000,8280.48
57500,8020.36
58000,7973.06
58500,7121.76
59000,7736.59
59500,9060.84
60000,9084.48
60500,9273.66
61000,9510.14
61500,9652.02
62000,9722.96
62500,9864.84
63000,10101.32
63500,10385.08
64000,10503.32
64500,10763.44
65000,11118.15
65500,11496.50
66000,11496.50
66500,12300.51
67000,12584.28
67500,12584.28
68000,12560.63
68500,11638.39
69000,10999.91
69500,10526.97
70000,10266.84
70500,9746.61
71000,8895.31
71500,8611.54
72000,8516.95
72500,8351.42
73000,8091.30
73500,7807.53
74000,7902.12
74500,7050.82
75000,8256.83
75500,9037.19
76000,9084.48
76500,9368.25
77000,9533.78
77500,9699.31
78000,9770.25
78500,9935.79
79000,10243.20
79500,10385.08
80000,10621.55
80500,10881.67
81000,11260.03
81500,11520.15
82000,11662.04
82500,12536.98
83000,12607.92
83500,12678.87
84000,12324.16
84500,11283.68
85000,10834.38
85500,10408.73
86000,10195.90
86500,9462.84
87000,8777.07
87500,8729.77
88000,8587.89
88500,8351.42
89000,8067.65
89500,7854.83
90000,7831.18
90500,7050.82
91000,8540.60
91500,9013.54
92000,9108.13
92500,9344.60
93000,9604.72
93500,9722.96
94000,9793.90
94500,10030.37
95000,10290.49
95500,10479.67
96000,10692.50
96500,10952.62
97000,11330.97
97500,11591.09
98000,11922.15
98500,12607.92
99000,12726.16
99500,12631.57
100000,12087.69
100500,11189.09
101000,10692.50
101500,10337.79
102000,10030.37
102500,9108.13
103000,8516.95
103500,8540.60
104000,8469.66
104500,8209.54
105000,7925.77
105500,7831.18
106000,7263.64
106500,7712.94
107000,9037.19
107500,9084.48
108000,9250.02
108500,9439.19
109000,9652.02
109500,9746.61
110000,9864.84
110500,10148.61
111000,10385.08
111500,10503.32
112000,10787.09
112500,11094.50
113000,11496.50
113500,11496.50
114000,12229.57
114500,12655.22
115000,12631.57
115500,12536.98
116000,11662.04
116500,11094.50
117000,10503.32
117500,10290.49
118000,9841.19
118500,8848.01
119000,8564.24
119500,8611.54
120000,8469.66
120500,8138.59
121000,7783.89
121500,7925.77
122000,6885.29
122500,8469.66
123000,9108.13
123500,9131.78
124000,9391.90
124500,9557.43
125000,9652.02
125500,9793.90
126000,9959.43
126500,10195.90
127000,10385.08
127500,10526.97
128000,10834.38
128500,11165.44
129000,11425.56
129500,11449.21
130000,12324.16
130500,12395.10
131000,12466.04
131500,12158.63
132000,11260.03
132500,10763.44
133000,10408.73
133500,10243.20
134000,9533.78
134500,8706.13
135000,8682.48
135500,8611.54
136000,8446.01
136500,8185.89
137000,8067.65
137500,7807.53
138000,7310.94
138500,9013.54
139000,9108.13
139500,9226.37
140000,9486.49
140500,9652.02
141000,9746.61
141500,9817.55
142000,10030.37
142500,10290.49
143000,10432.38
143500,10668.85
144000,10928.97
144500,11236.38
145000,11378.27
145500,11709.33
146000,12347.81
146500,12418.75
147000,12513.34
147500,12111.33
148000,11189.09
148500,10621.55
149000,10314.14
149500,10054.02
150000,9226.37
150500,8587.89
151000,8611.54
151500,8587.89
152000,8375.07
152500,8114.95
153000,8067.65
153500,7381.88
154000,7878.47
154500,9108.13
155000,9155.42
155500,9297.31
156000,9462.84
156500,9652.02
157000,9770.25
157500,9864.84
158000,10101.32
158500,10361.44
159000,10479.67
159500,10739.79
160000,11047.21
160500,11354.62
161000,11378.27
161500,12040.39
162000,12371.45
162500,12442.40
163000,12513.34
163500,11709.33
164000,11047.21
164500,10456.02
165000,10219.55
165500,9817.55
166000,9013.54
166500,8587.89
167000,8658.83
167500,8564.24
168000,8304.12
168500,8020.36
169000,8044.00
169500,7121.76
170000,8304.12
170500,9060.84
171000,9108.13
171500,9320.96
172000,9486.49
172500,9675.67
173000,9746.61
173500,9888.49
174000,10172.26
174500,10385.08
175000,10550.61
175500,10810.73
176000,11141.79
176500,11378.27
177000,11425.56
177500,12205.92
178000,12655.22
178500,12584.28
179000,12182.27
179500,11236.38
180000,10787.09
180500,10385.08
181000,10148.61
181500,9581.08
182000,8895.31
182500,8800.71
183000,8658.83
183500,8469.66
184000,8185.89
184500,8067.65
185000,8067.65
185500,7500.12
186000,8446.01
186500,9131.78
187000,9226.37
187500,9486.49
188000,9628.37
188500,9770.25
189000,9841.19
189500,10054.02
190000,10290.49
190500,10432.38
191000,10668.85
191500,10928.97
192000,11260.03
192500,11401.92
193000,11662.04
193500,12395.10
194000,12371.45
194500,12395.10
195000,12395.10
195500,11283.68
196000,10668.85
196500,10385.08
197000,10101.32
197500,9273.66
198000,8635.19
198500,8682.48
199000,8516.95
199500,8327.77
200000,8020.36
200500,7925.77
201000,7571.06
201500,7476.47
202000,9037.19
202500,9084.48
203000,9250.02
203500,9462.84
204000,9675.67
204500,9746.61
205000,9841.19
205500,10148.61
206000,10361.44
206500,10479.67
207000,10763.44
207500,10999.91
208000,11330.97
208500,11378.27
209000,11945.80
209500,12347.81
210000,12347.81
210500,12844.40
211000,11780.27
211500,11189.09
212000,10479.67
212500,10314.14
213000,9888.49
213500,9013.54
214000,8635.19
214500,8658.83
215000,8493.30
215500,8209.54
216000,7925.77
216500,8020.36
217000,7074.46
217500,8398.71
218000,9060.84
218500,9108.13
219000,9344.60
219500,9510.14
220000,9675.67
220500,9770.25
221000,9912.14
221500,10195.90
222000,10385.08
222500,10574.26
223000,10834.38
223500,11189.09
224000,11520.15
224500,11472.86
225000,12300.51
225500,12513.34
226000,12560.63
226500,12300.51
227000,11378.27
227500,10905.32
228000,10432.38
228500,10195.90
229000,9604.72
229500,8800.71
230000,8753.42
230500,8635.19
231000,8422.36
231500,8162.24
232000,7996.71
232500,7996.71
233000,7263.64
233500,8564.24
234000,9013.54
234500,9179.07
235000,9439.19
235500,9581.08
236000,9746.61
236500,9841.19
237000,10030.37
237500,10266.84
238000,10408.73
238500,10621.55
239000,10858.03
239500,11189.09
240000,11330.97
240500,11567.44
241000,12607.92
241500,12418.75
242000,12324.16
242500,11945.80
243000,11118.15
243500,10645.20
244000,10385.08
244500,10597.91
245000,9462.84
245500,8918.95
246000,8800.71
246500,8635.19
247000,8493.30
247500,8256.83
248000,8185.89
248500,7831.18
249000,7642.00
249500,9108.13
250000,9155.42
250500,9273.66
251000,9462.84
251500,9652.02
252000,9746.61
252500,9817.55
253000,10054.02
253500,10314.14
254000,10432.38
254500,10645.20
255000,10952.62
255500,11307.33
256000,11354.62
256500,11851.21
257000,12276.86
257500,12324.16
258000,12253.22
258500,11685.68
259000,11094.50
259500,10526.97
260000,10290.49
260500,9983.08
261000,9060.84
261500,8658.83
262000,8706.13
262500,8635.19
263000,8422.36
263500,8138.59
264000,8209.54
264500,7310.94
265000,8611.54
265500,9155.42
266000,9202.72
266500,9391.90
267000,9510.14
267500,9533.78
268000,9722.96
268500,9888.49
269000,10101.32
269500,10290.49
270000,10479.67
270500,10739.79
271000,11047.21
271500,11330.97
272000,11378.27
272500,12134.98
273000,12253.22
273500,12324.16
274000,12134.98
274500,11283.68
275000,10810.73
275500,10432.38
276000,10219.55
276500,9652.02
277000,8871.66
277500,8587.89
278000,8658.83
278500,8564.24
279000,8327.77
279500,8114.95
280000,7878.47
280500,7476.47
281000,9060.84
281500,9131.78
282000,9250.02
282500,9486.49
283000,9652.02
283500,9793.90
284000,9864.84
284500,10030.37
285000,10243.20
285500,10408.73
286000,10597.91
286500,10834.38
287000,11141.79
287500,11307.33
288000,11543.80
288500,12324.16
289000,12536.98
289500,12536.98
290000,12111.33
290500,11236.38
291000,10716.14
291500,10408.73
292000,10172.26
292500,9391.90
293000,8658.83
293500,8540.60
294000,8611.54
294500,8493.30
295000,8138.59
295500,7760.24
296000,7263.64
296500,7996.71
297000,9084.48
297500,9108.13
298000,9250.02
298500,9462.84
299000,9652.02
299500,9746.61
300000,9841.19
300500,10077.67
301000,10266.84
301500,10456.02
302000,10668.85
302500,11047.21
303000,11378.27
303500,11472.86
304000,11969.45
304500,12513.34
305000,12513.34
305500,12442.40
306000,11756.62
306500,11118.15
307000,10550.61
307500,10314.14
308000,10006.73
308500,9084.48
309000,8564.24
309500,8611.54
310000,8564.24
310500,8446.01
311000,8185.89
311500,8209.54
312000,6601.52
312500,8516.95
313000,9108.13
313500,9131.78
314000,9344.60
314500,9510.14
315000,9652.02
315500,9770.25
316000,9912.14
316500,10172.26
317000,10337.79
317500,10479.67
318000,10692.50
318500,11023.56
319000,11307.33
319500,11307.33
320000,12040.39
320500,12347.81
321000,12560.63
321500,12324.16
322000,11496.50
322500,11023.56
323000,10621.55
323500,10266.84
324000,9793.90
324500,8777.07
325000,8611.54
325500,8635.19
326000,8493.30
326500,8209.54
327000,7996.71
327500,7949.42
328000,7169.06
328500,8895.31
329000,9108.13
329500,9155.42
330000,9391.90
330500,9581.08
331000,9722.96
331500,9817.55
332000,9983.08
332500,10195.90
333000,10385.08
333500,10597.91
334000,10810.73
334500,11189.09
335000,11354.62
335500,11543.80
336000,12324.16
336500,12395.10
337000,12324.16
337500,12134.98
338000,11094.50
338500,10668.85
339000,10314.14
339500,10148.61
340000,9510.14
340500,8777.07
341000,8706.13
341500,8753.42
342000,8611.54
342500,8327.77
343000,8091.30
343500,7405.53
344000,7736.59
344500,9084.48
345000,9131.78
345500,9250.02
346000,9486.49
346500,9628.37
347000,9746.61
347500,9817.55
348000,10054.02
348500,10266.84
349000,10385.08
349500,10574.26
350000,10952.62
350500,11165.44
351000,11260.03
351500,11638.39
352000,12134.98
352500,12134.98
353000,12111.33
353500,11567.44
354000,10976.27
354500,10503.32
355000,10314.14
355500,9983.08
356000,9250.02
356500,8729.77
357000,8777.07
357500,8729.77
358000,8516.95
358500,8304.12
359000,8304.12
359500,7618.35
360000,8422.36
360500,9202.72
361000,9250.02
361500,9391.90
362000,9533.78
362500,9722.96
363000,9793.90
363500,9888.49
364000,10101.32
364500,10290.49
365000,10408.73
365500,10645.20
366000,10905.32
366500,11212.74
367000,11189.09
367500,11874.86
368000,12087.69
368500,12087.69
369000,12040.39
369500,11260.03
370000,10810.73
370500,10385.08
371000,10219.55
371500,9770.25
372000,9084.48
372500,8729.77
373000,8824.37
373500,8729.77
374000,8469.66
374500,8256.83
375000,8162.24
375500,7547.41
376000,9037.19
376500,9179.07
377000,9250.02
377500,9462.84
378000,9628.37
378500,9746.61
379000,9817.55
379500,9935.79
380000,10148.61
380500,10337.79
381000,10503.32
381500,10716.14
382000,10999.91
382500,11189.09
383000,11330.97
383500,11969.45
384000,12087.69
384500,12134.98
385000,11851.21
385500,11047.21
386000,10668.85
386500,10361.44
387000,10148.61
387500,9581.08
388000,8895.31
388500,8800.71
389000,8800.71
389500,8682.48
390000,8422.36
390500,8351.42
391000,7902.12
391500,7973.06
392000,9179.07
392500,9226.37
393000,9320.96
393500,9533.78
394000,9675.67
394500,9746.61
395000,9864.84
395500,10030.37
396000,10219.55
396500,10337.79
397000,10526.97
397500,10763.44
398000,11070.85
398500,11212.74
399000,11543.80
399500,12040.39
400000,12064.04
400500,12064.04
401000,11591.09
401500,10976.27
402000,10526.97
402500,10314.14
403000,10054.02
403500,9273.66
404000,8824.37
404500,8800.71
405000,8800.71
405500,8635.19
406000,8398.71
406500,8351.42
407000,7665.65
407500,8516.95
408000,9202.72
408500,9179.07
409000,9250.02
409500,9486.49
410000,9675.67
410500,9746.61
411000,9864.84
411500,10077.67
412000,10290.49
412500,10432.38
413000,10668.85
413500,10952.62
414000,11283.68
414500,11283.68
415000,11969.45
415500,12205.92
416000,12205.92
416500,12064.04
417000,11307.33
417500,10858.03
418000,10456.02
418500,10290.49
419000,9888.49
419500,9084.48
420000,8824.37
420500,8871.66
421000,8753.42
421500,8540.60
422000,8327.77
422500,8351.42
423000,7594.71
423500,8280.48
424000,9155.42
424500,9250.02
425000,9439.19
425500,9581.08
426000,9722.96
426500,9793.90
427000,9912.14
427500,10124.96
428000,10290.49
428500,10456.02
429000,10668.85
429500,10952.62
430000,11189.09
430500,11236.38
431000,11922.15
431500,11993.10
432000,12134.98
432500,12040.39
433000,11236.38
433500,10881.67
434000,10550.61
434500,10266.84
435000,9699.31
435500,9037.19
436000,8871.66
436500,8777.07
437000,8611.54
437500,8327.77
438000,8209.54
438500,7996.71
439000,7476.47
439500,9013.54
440000,9131.78
440500,9250.02
441000,9462.84
441500,9628.37
442000,9699.31
442500,9793.90
443000,9983.08
443500,10219.55
444000,10361.44
444500,10597.91
445000,10810.73
445500,11141.79
446000,11260.03
446500,11591.09
447000,12205.92
447500,12205.92
448000,12229.57
448500,11803.92
449000,11070.85
449500,10621.55
450000,10361.44
450500,10124.96
451000,9391.90
451500,8800.71
452000,8824.37
452500,8777.07
453000,8540.60
453500,8351.42
454000,8138.59
454500,7760.24
455000,8162.24
455500,9179.07
456000,9250.02
456500,9368.25
457000,9415.54
457500,9699.31
458000,9770.25
458500,9841.19
459000,10054.02
459500,10243.20
460000,10385.08
460500,10574.26
461000,10834.38
461500,11141.79
462000,11118.15
462500,11709.33
463000,12064.04
463500,12253.22
464000,12205.92
464500,11472.86
465000,10999.91
465500,10503.32
466000,10290.49
466500,9912.14
467000,9226.37
467500,8895.31
468000,8918.95
468500,8800.71
469000,8564.24
469500,8256.83
470000,8256.83
470500,7476.47
471000,8540.60
471500,9131.78
472000,9179.07
472500,9368.25
473000,9533.78
473500,9699.31
474000,9770.25
474500,9888.49
475000,10124.96
475500,10314.14
476000,10456.02
476500,10692.50
477000,10976.27
477500,11236.38
478000,11307.33
478500,12040.39
479000,12182.27
479500,12253.22
480000,12040.39
480500,11189.09
481000,10763.44
481500,10385.08
482000,10243.20
482500,9722.96
483000,9084.48
483500,9013.54
484000,8895.31
484500,8753.42
485000,8516.95
485500,8351.42
486000,8233.18
486500,7500.12
487000,8658.83
487500,9131.78
488000,9226.37
488500,9439.19
489000,9604.72
489500,9699.31
490000,9793.90
490500,9959.43
491000,10195.90
491500,10290.49
492000,10526.97
492500,10763.44
493000,11070.85
493500,11212.74
494000,11496.50
494500,12134.98
495000,12229.57
495500,12229.57
496000,11851.21
496500,11094.50
497000,10645.20
497500,10432.38
498000,10148.61
498500,9486.49
499000,8942.60
499500,8966.25
500000,8824.37
500500,8611.54
501000,8304.12
501500,8233.18
502000,7807.53
502500,7854.83
503000,9084.48
503500,9179.07
504000,9273.66
504500,9486.49
505000,9675.67
505500,9746.61
506000,9793.90
506500,10030.37
507000,10266.84
507500,10361.44
508000,10574.26
508500,10858.03
509000,11165.44
509500,11236.38
510000,11780.27
510500,12182.27
511000,12253.22
511500,12182.27
512000,11520.15
512500,10976.27
513000,10550.61
513500,10266.84
514000,9935.79
514500,9250.02
515000,8989.89
515500,8966.25
516000,8824.37
516500,8587.89
517000,8398.71
517500,8446.01
518000,7902.12
518500,8375.07
519000,9202.72
519500,9297.31
520000,9462.84
520500,9557.43
521000,9722.96
521500,9793.90
522000,9912.14
522500,10124.96
523000,10266.84
523500,10432.38
524000,10621.55
524500,10905.32
525000,11141.79
525500,11165.44
526000,11851.21
526500,11945.80
527000,12016.75
527500,11874.86
528000,11141.79
528500,10763.44
529000,10385.08
529500,10243.20
530000,9746.61
530500,9131.78
531000,9037.19
531500,8918.95
532000,8777.07
532500,8540.60
533000,8398.71
533500,8375.07
534000,7783.89
534500,8729.77
535000,9226.37
535500,9297.31
536000,9510.14
536500,9628.37
537000,9746.61
537500,9817.55
538000,9983.08
538500,10195.90
539000,10290.49
539500,10503.32
540000,10692.50
540500,10976.27
541000,11118.15
541500,11307.33
542000,11922.15
542500,11993.10
543000,12016.75
543500,11685.68
544000,10976.27
544500,10597.91
545000,10337.79
545500,10148.61
546000,9462.84
546500,8966.25
547000,8942.60
547500,8871.66
548000,8706.13
548500,8469.66
549000,8398.71
549500,7996.71
550000,8044.00
550500,9202.72
551000,9250.02
551500,9368.25
552000,9533.78
552500,9675.67
553000,9770.25
553500,9864.84
554000,10030.37
554500,10243.20
555000,10361.44
555500,10550.61
556000,10763.44
556500,11070.85
557000,11141.79
557500,11567.44
558000,11969.45
558500,11969.45
559000,11993.10
559500,11401.92
560000,10976.27
560500,10479.67
561000,10314.14
561500,10006.73
562000,9202.72
562500,8966.25
563000,8966.25
563500,8824.37
564000,8611.54
564500,8398.71
565000,8446.01
565500,7902.12
566000,8327.77
566500,9202.72
567000,9273.66
567500,9439.19
568000,9557.43
568500,9722.96
569000,9793.90
569500,9912.14
570000,10124.96
570500,10266.84
571000,10432.38
571500,10621.55
572000,10905.32
572500,11141.79
573000,11165.44
573500,11756.62
574000,11969.45
574500,12040.39
575000,11898.51
575500,11165.44
576000,10763.44
576500,10432.38
577000,10219.55
577500,9817.55
578000,9250.02
578500,9108.13
579000,8942.60
579500,8753.42
580000,8540.60
580500,8375.07
581000,8375.07
581500,8422.36
582000,7996.71
582500,9131.78
583000,9297.31
583500,9486.49
584000,9628.37
584500,9770.25
585000,9817.55
585500,9983.08
586000,10172.26
586500,10314.14
587000,10479.67
587500,10716.14
588000,10976.27
588500,11118.15
589000,11283.68
589500,11969.45
590000,11969.45
590500,12016.75
591000,11732.98
591500,10976.27
592000,10597.91
592500,10337.79
593000,10148.61
593500,9533.78
594000,9084.48
594500,9013.54
595000,8895.31
595500,8706.13
596000,8469.66
596500,8398.71
597000,8233.18
597500,7712.94
598000,9084.48
598500,9250.02
599000,9344.60
599500,9510.14
600000,9675.67
600500,9746.61
601000,9817.55
601500,10030.37
602000,10266.84
602500,10337.79
603000,10550.61
603500,10810.73
604000,11070.85
604500,11141.79
605000,11543.80
605500,11969.45
606000,12016.75
606500,11969.45
607000,11449.21
607500,10928.97
608000,10456.02
608500,10314.14
609000,10054.02
609500,9250.02
610000,8989.89
610500,8942.60
611000,8848.01
611500,8635.19
612000,8398.71
612500,8422.36
613000,7925.77
613500,8256.83
614000,9179.07
614500,9273.66
615000,9391.90
615500,9533.78
616000,9699.31
616500,9793.90
617000,9888.49
617500,10124.96
618000,10243.20
618500,10385.08
619000,10621.55
619500,10858.03
620000,11141.79
620500,11141.79
621000,11756.62
621500,11945.80
622000,12040.39
622500,11898.51
623000,11236.38
623500,10810.73
624000,10408.73
624500,10219.55
625000,9817.55
625500,9226.37
626000,9084.48
626500,8942.60
627000,8800.71
627500,8540.60
628000,8351.42
628500,8398.71
629000,8185.89
629500,8233.18
630000,9202.72
630500,9297.31
631000,9462.84
631500,9628.37
632000,9746.61
632500,9817.55
633000,9983.08
633500,10172.26
634000,10266.84
634500,10479.67
635000,10692.50
635500,10976.27
636000,11141.79
636500,11236.38
637000,11922.15
637500,11969.45
638000,12040.39
638500,11732.98
639000,11023.56
639500,10645.20
640000,10361.44
640500,10172.26
641000,9581.08
641500,9131.78
642000,9060.84
642500,8895.31
643000,8729.77
643500,8469.66
644000,8422.36
644500,8351.42
645000,7783.89
645500,8871.66
646000,9226.37
646500,9344.60
647000,9533.78
647500,9675.67
648000,9770.25
648500,9841.19
649000,10030.37
649500,10219.55
650000,10337.79
650500,10526.97
651000,10763.44
651500,11023.56
652000,11165.44
652500,11496.50
653000,11969.45
653500,12016.75
654000,11969.45
654500,11520.15
655000,10976.27
655500,10550.61
656000,10290.49
656500,10030.37
657000,9320.96
657500,9037.19
658000,8989.89
658500,8871.66
659000,8682.48
659500,8422.36
660000,8422.36
660500,8044.00
661000,8138.59
661500,9250.02
662000,9273.66
662500,9439.19
663000,9581.08
663500,9722.96
664000,9817.55
664500,9888.49
665000,10124.96
665500,10266.84
666000,10385.08
666500,10574.26
667000,10881.67
667500,11118.15
668000,11141.79
668500,11732.98
669000,12016.75
669500,12016.75
670000,11945.80
670500,11260.03
671000,10834.38
671500,10432.38
672000,10219.55
672500,9841.19
673000,9250.02
673500,9084.48
674000,8966.25
674500,8777.07
675000,8587.89
675500,8375.07
676000,8422.36
676500,8304.12
677000,8067.65
677500,9179.07
678000,9273.66
678500,9486.49
679000,9604.72
679500,9746.61
680000,9793.90
680500,9935.79
681000,10148.61
681500,10266.84
682000,10479.67
682500,10692.50
683000,10952.62
683500,11118.15
684000,11212.74
684500,11898.51
685000,11969.45
685500,12040.39
686000,11780.27
686500,10999.91
687000,10645.20
687500,10361.44
688000,10172.26
688500,9604.72
689000,9131.78
689500,9037.19
690000,8895.31
690500,8753.42
691000,8493.30
691500,8398.71
692000,8327.77
692500,7712.94
693000,8918.95
693500,9226.37
694000,9179.07
694500,9510.14
695000,9652.02
695500,9273.66
696000,9652.02
696500,9888.49
697000,10172.26
697500,10314.14
698000,10526.97
698500,10810.73
699000,11141.79
699500,11260.03
700000,11614.74
700500,12158.63
701000,12182.27
701500,12158.63
702000,11685.68
702500,11047.21
703000,10574.26
703500,10337.79
704000,10124.96
704500,9226.37
705000,8918.95
705500,8871.66
