STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
DONE.
STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,642.41
500,642.41
1000,666.06
1500,666.06
2000,666.06
2500,666.06
3000,689.71
3500,666.06
4000,689.71
4500,713.35
5000,666.06
5500,666.06
6000,689.71
6500,666.06
7000,689.71
7500,666.06
8000,666.06
8500,666.06
9000,642.41
9500,666.06
10000,666.06
10500,666.06
11000,666.06
11500,666.06
12000,666.06
12500,689.71
13000,689.71
13500,713.35
14000,689.71
14500,713.35
15000,713.35
15500,737.00
16000,713.35
16500,713.35
17000,713.35
17500,713.35
18000,737.00
18500,737.00
19000,713.35
19500,713.35
20000,713.35
20500,689.71
21000,666.06
21500,689.71
22000,689.71
22500,689.71
23000,689.71
23500,666.06
24000,666.06
24500,689.71
25000,666.06
25500,689.71
26000,666.06
26500,666.06
27000,689.71
27500,666.06
28000,666.06
28500,689.71
29000,666.06
29500,666.06
30000,666.06
30500,666.06
31000,666.06
31500,642.41
32000,666.06
32500,666.06
33000,666.06
33500,666.06
34000,642.41
34500,642.41
35000,642.41
35500,666.06
36000,642.41
36500,642.41
37000,642.41
37500,666.06
38000,666.06
38500,642.41
39000,666.06
39500,642.41
40000,642.41
40500,666.06
41000,642.41
41500,666.06
42000,642.41
42500,642.41
43000,642.41
43500,642.41
44000,666.06
44500,666.06
45000,642.41
45500,642.41
46000,666.06
46500,666.06
47000,666.06
47500,689.71
48000,713.35
48500,713.35
49000,713.35
49500,713.35
50000,713.35
50500,713.35
51000,713.35
51500,737.00
52000,713.35
52500,713.35
53000,666.06
53500,689.71
54000,689.71
54500,689.71
55000,689.71
55500,689.71
56000,666.06
56500,689.71
57000,689.71
57500,689.71
58000,689.71
58500,713.35
59000,689.71
59500,713.35
60000,713.35
60500,713.35
61000,713.35
61500,713.35
62000,689.71
62500,713.35
63000,689.71
63500,713.35
64000,713.35
64500,713.35
65000,713.35
65500,689.71
66000,689.71
66500,713.35
67000,713.35
67500,713.35
68000,713.35
68500,689.71
69000,689.71
69500,689.71
70000,713.35
70500,689.71
71000,689.71
71500,689.71
72000,689.71
72500,689.71
73000,689.71
73500,689.71
74000,666.06
74500,689.71
75000,713.35
75500,713.35
76000,713.35
76500,713.35
77000,713.35
77500,713.35
78000,713.35
78500,713.35
79000,689.71
79500,713.35
80000,713.35
80500,713.35
81000,713.35
81500,713.35
82000,713.35
82500,713.35
83000,713.35
83500,713.35
84000,713.35
84500,689.71
85000,713.35
85500,689.71
86000,666.06
86500,689.71
87000,689.71
87500,689.71
88000,689.71
88500,713.35
89000,713.35
89500,713.35
90000,689.71
90500,713.35
91000,713.35
91500,689.71
92000,713.35
92500,713.35
93000,737.00
93500,737.00
94000,737.00
94500,737.00
95000,737.00
95500,737.00
96000,737.00
96500,737.00
97000,737.00
97500,713.35
98000,713.35
98500,737.00
99000,713.35
99500,713.35
100000,713.35
100500,689.71
101000,713.35
101500,689.71
102000,689.71
102500,713.35
103000,689.71
103500,689.71
104000,713.35
104500,689.71
105000,713.35
105500,713.35
106000,713.35
106500,737.00
107000,713.35
107500,737.00
108000,737.00
108500,737.00
109000,737.00
109500,737.00
110000,760.65
110500,760.65
111000,737.00
111500,760.65
112000,760.65
112500,760.65
113000,760.65
113500,737.00
114000,784.29
114500,760.65
115000,760.65
115500,760.65
116000,760.65
116500,760.65
117000,760.65
117500,737.00
118000,737.00
118500,737.00
119000,737.00
119500,737.00
120000,713.35
120500,713.35
121000,737.00
121500,713.35
122000,713.35
122500,713.35
123000,689.71
123500,713.35
124000,713.35
124500,713.35
125000,689.71
125500,689.71
126000,713.35
126500,689.71
127000,713.35
127500,713.35
128000,713.35
128500,713.35
129000,666.06
129500,689.71
130000,689.71
130500,689.71
131000,666.06
131500,666.06
132000,642.41
132500,642.41
133000,642.41
133500,666.06
134000,642.41
134500,666.06
135000,642.41
135500,618.76
136000,618.76
136500,618.76
137000,642.41
137500,618.76
138000,642.41
138500,642.41
139000,689.71
139500,689.71
140000,642.41
140500,666.06
141000,666.06
141500,689.71
142000,666.06
142500,642.41
143000,666.06
143500,666.06
144000,666.06
144500,666.06
145000,666.06
145500,689.71
146000,666.06
146500,689.71
147000,666.06
147500,642.41
148000,666.06
148500,666.06
149000,642.41
149500,666.06
150000,642.41
150500,666.06
151000,642.41
151500,642.41
152000,642.41
152500,666.06
153000,642.41
153500,642.41
154000,642.41
154500,642.41
155000,642.41
155500,666.06
156000,642.41
156500,642.41
157000,642.41
157500,642.41
158000,666.06
158500,666.06
159000,642.41
159500,642.41
160000,642.41
160500,642.41
161000,618.76
161500,618.76
162000,618.76
162500,642.41
163000,618.76
163500,618.76
164000,618.76
164500,618.76
165000,618.76
165500,618.76
166000,618.76
166500,618.76
167000,595.12
167500,595.12
168000,595.12
168500,595.12
169000,618.76
169500,618.76
170000,618.76
170500,618.76
171000,618.76
171500,618.76
172000,618.76
172500,618.76
173000,642.41
173500,642.41
174000,618.76
174500,618.76
175000,642.41
175500,642.41
176000,642.41
176500,618.76
177000,595.12
177500,618.76
178000,618.76
178500,595.12
179000,595.12
179500,595.12
180000,595.12
180500,595.12
181000,595.12
181500,595.12
182000,595.12
182500,595.12
183000,595.12
183500,595.12
184000,571.47
184500,595.12
185000,595.12
185500,571.47
186000,571.47
186500,571.47
187000,595.12
187500,595.12
188000,595.12
188500,595.12
189000,595.12
189500,595.12
190000,618.76
190500,595.12
191000,595.12
191500,618.76
192000,618.76
192500,595.12
193000,618.76
193500,618.76
194000,595.12
194500,595.12
195000,571.47
195500,571.47
196000,595.12
196500,595.12
197000,618.76
197500,595.12
198000,642.41
198500,618.76
199000,595.12
199500,571.47
200000,618.76
200500,595.12
201000,595.12
201500,618.76
202000,595.12
202500,618.76
203000,595.12
203500,595.12
204000,595.12
204500,547.82
205000,571.47
205500,595.12
206000,571.47
206500,595.12
207000,571.47
207500,595.12
208000,571.47
208500,571.47
209000,618.76
209500,595.12
210000,571.47
210500,547.82
211000,571.47
211500,547.82
212000,524.18
212500,524.18
213000,524.18
213500,524.18
214000,500.53
214500,524.18
215000,500.53
215500,500.53
216000,500.53
216500,476.88
217000,500.53
217500,476.88
218000,500.53
218500,524.18
219000,500.53
219500,476.88
220000,500.53
220500,476.88
221000,500.53
221500,476.88
222000,476.88
222500,500.53
223000,500.53
223500,500.53
224000,476.88
224500,476.88
225000,500.53
225500,476.88
226000,453.24
226500,453.24
227000,476.88
227500,453.24
228000,476.88
228500,476.88
229000,453.24
229500,476.88
230000,476.88
230500,453.24
231000,453.24
231500,453.24
232000,476.88
232500,476.88
233000,476.88
233500,500.53
234000,500.53
234500,500.53
235000,500.53
235500,500.53
236000,500.53
236500,500.53
237000,500.53
237500,524.18
238000,547.82
238500,547.82
239000,547.82
239500,524.18
240000,524.18
240500,524.18
241000,547.82
241500,547.82
242000,547.82
242500,524.18
243000,547.82
243500,547.82
244000,547.82
244500,547.82
245000,547.82
245500,524.18
246000,547.82
246500,547.82
247000,547.82
247500,547.82
248000,547.82
248500,547.82
249000,547.82
249500,547.82
250000,571.47
250500,571.47
251000,571.47
251500,571.47
252000,571.47
252500,595.12
253000,571.47
253500,595.12
254000,571.47
254500,571.47
255000,595.12
255500,595.12
256000,595.12
256500,571.47
257000,595.12
257500,571.47
258000,571.47
258500,571.47
259000,547.82
259500,547.82
260000,547.82
260500,524.18
261000,547.82
261500,547.82
262000,547.82
262500,547.82
263000,571.47
263500,595.12
264000,547.82
264500,547.82
265000,547.82
265500,547.82
266000,547.82
266500,571.47
267000,571.47
267500,571.47
268000,571.47
268500,571.47
269000,571.47
269500,595.12
270000,571.47
270500,571.47
271000,547.82
271500,571.47
272000,595.12
272500,571.47
273000,571.47
273500,571.47
274000,571.47
274500,595.12
275000,595.12
275500,595.12
276000,571.47
276500,595.12
277000,571.47
277500,571.47
278000,524.18
278500,547.82
279000,571.47
279500,595.12
280000,595.12
280500,595.12
281000,595.12
281500,618.76
282000,618.76
282500,618.76
283000,618.76
283500,595.12
284000,618.76
284500,618.76
285000,642.41
285500,618.76
286000,642.41
286500,642.41
287000,618.76
287500,618.76
288000,642.41
288500,642.41
289000,642.41
289500,642.41
290000,642.41
290500,642.41
291000,642.41
291500,642.41
292000,642.41
292500,642.41
293000,595.12
293500,618.76
294000,642.41
294500,666.06
295000,666.06
295500,666.06
296000,737.00
296500,666.06
297000,666.06
297500,689.71
298000,689.71
298500,689.71
299000,666.06
299500,666.06
300000,689.71
300500,689.71
301000,689.71
301500,713.35
302000,689.71
302500,666.06
303000,666.06
303500,689.71
304000,689.71
304500,666.06
305000,689.71
305500,642.41
306000,666.06
306500,689.71
307000,666.06
307500,642.41
308000,666.06
308500,666.06
309000,642.41
309500,642.41
310000,642.41
310500,666.06
311000,666.06
311500,666.06
312000,642.41
312500,666.06
313000,666.06
313500,642.41
314000,642.41
314500,642.41
315000,666.06
315500,666.06
316000,666.06
316500,666.06
317000,642.41
317500,666.06
318000,666.06
318500,666.06
319000,666.06
319500,642.41
320000,642.41
320500,666.06
321000,618.76
321500,642.41
322000,642.41
322500,571.47
323000,618.76
323500,618.76
324000,642.41
324500,642.41
325000,642.41
325500,642.41
