STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,524.18
500,524.18
1000,524.18
1500,524.18
2000,524.18
2500,547.82
3000,547.82
3500,524.18
4000,547.82
4500,547.82
5000,524.18
5500,547.82
6000,547.82
6500,547.82
7000,571.47
7500,547.82
8000,571.47
8500,571.47
9000,571.47
9500,571.47
10000,571.47
10500,571.47
11000,595.12
11500,618.76
12000,618.76
12500,595.12
13000,595.12
13500,618.76
14000,618.76
14500,595.12
15000,595.12
15500,595.12
16000,595.12
16500,595.12
17000,595.12
17500,595.12
18000,595.12
18500,595.12
19000,595.12
19500,595.12
20000,595.12
20500,571.47
21000,618.76
21500,595.12
22000,595.12
22500,595.12
23000,595.12
23500,595.12
24000,618.76
24500,595.12
25000,595.12
25500,595.12
26000,595.12
26500,571.47
27000,571.47
27500,571.47
28000,595.12
28500,595.12
29000,547.82
29500,547.82
30000,547.82
30500,571.47
31000,547.82
31500,547.82
32000,547.82
32500,524.18
33000,547.82
33500,524.18
34000,524.18
34500,524.18
35000,524.18
35500,500.53
36000,500.53
36500,500.53
37000,500.53
37500,500.53
38000,524.18
38500,524.18
39000,476.88
39500,524.18
40000,500.53
40500,524.18
41000,524.18
41500,524.18
42000,524.18
42500,524.18
43000,500.53
43500,500.53
44000,500.53
44500,524.18
45000,524.18
45500,524.18
46000,524.18
46500,524.18
47000,547.82
47500,547.82
48000,547.82
48500,571.47
49000,571.47
49500,571.47
50000,547.82
50500,571.47
51000,547.82
51500,571.47
52000,571.47
52500,571.47
53000,571.47
53500,571.47
54000,571.47
54500,595.12
55000,595.12
55500,618.76
56000,595.12
56500,902.53
57000,713.35
57500,666.06
58000,595.12
58500,571.47
59000,595.12
59500,476.88
60000,571.47
60500,405.94
61000,547.82
61500,595.12
62000,618.76
62500,618.76
63000,618.76
63500,618.76
64000,618.76
64500,618.76
65000,618.76
65500,595.12
66000,595.12
66500,618.76
67000,571.47
67500,595.12
68000,571.47
68500,571.47
69000,571.47
69500,571.47
70000,571.47
70500,571.47
71000,595.12
71500,429.58
72000,429.58
72500,524.18
73000,547.82
73500,547.82
74000,547.82
74500,784.29
75000,666.06
75500,595.12
76000,547.82
76500,524.18
77000,524.18
77500,500.53
78000,500.53
78500,524.18
79000,500.53
79500,476.88
80000,524.18
80500,524.18
81000,500.53
81500,500.53
82000,500.53
82500,524.18
83000,524.18
83500,547.82
84000,571.47
84500,571.47
85000,571.47
85500,595.12
86000,595.12
86500,595.12
87000,595.12
87500,571.47
88000,595.12
88500,571.47
89000,571.47
89500,571.47
90000,571.47
