STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
DONE.
STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
DONE.
STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
DONE.
STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,760.65
500,760.65
1000,760.65
1500,760.65
2000,760.65
2500,760.65
3000,760.65
3500,784.29
4000,760.65
4500,760.65
5000,760.65
5500,760.65
6000,760.65
6500,760.65
7000,760.65
7500,760.65
8000,760.65
8500,784.29
9000,760.65
9500,784.29
10000,760.65
10500,760.65
11000,760.65
11500,760.65
12000,760.65
12500,760.65
13000,737.00
13500,737.00
14000,737.00
14500,760.65
15000,760.65
15500,737.00
16000,760.65
16500,760.65
17000,760.65
17500,760.65
18000,784.29
18500,760.65
19000,760.65
19500,760.65
20000,760.65
20500,760.65
21000,784.29
21500,760.65
22000,760.65
22500,760.65
23000,760.65
23500,760.65
24000,737.00
24500,737.00
25000,760.65
25500,760.65
26000,784.29
26500,760.65
27000,760.65
27500,760.65
28000,760.65
28500,760.65
29000,760.65
29500,760.65
30000,760.65
30500,760.65
31000,760.65
31500,760.65
32000,760.65
32500,760.65
33000,784.29
33500,760.65
34000,760.65
34500,784.29
35000,760.65
35500,760.65
36000,760.65
36500,760.65
37000,760.65
37500,760.65
38000,760.65
38500,760.65
39000,760.65
39500,784.29
40000,760.65
40500,784.29
41000,784.29
41500,760.65
42000,784.29
42500,760.65
43000,760.65
43500,760.65
44000,760.65
44500,760.65
45000,737.00
45500,760.65
46000,737.00
46500,737.00
47000,737.00
47500,713.35
48000,713.35
48500,737.00
49000,760.65
49500,760.65
50000,760.65
50500,784.29
51000,760.65
51500,760.65
52000,784.29
52500,760.65
53000,760.65
53500,760.65
54000,784.29
54500,760.65
55000,760.65
55500,760.65
56000,760.65
56500,760.65
57000,760.65
57500,760.65
58000,760.65
58500,760.65
59000,760.65
59500,737.00
60000,737.00
60500,737.00
61000,737.00
61500,737.00
62000,737.00
62500,760.65
63000,713.35
63500,737.00
64000,737.00
64500,713.35
65000,737.00
65500,760.65
66000,760.65
66500,760.65
67000,737.00
67500,760.65
68000,760.65
68500,760.65
69000,760.65
69500,760.65
70000,760.65
70500,784.29
71000,760.65
71500,760.65
72000,760.65
72500,784.29
73000,784.29
73500,760.65
74000,760.65
74500,760.65
75000,784.29
75500,737.00
76000,760.65
76500,760.65
77000,737.00
77500,760.65
78000,737.00
78500,737.00
79000,737.00
79500,713.35
80000,737.00
80500,737.00
81000,737.00
81500,760.65
82000,760.65
82500,760.65
83000,760.65
83500,760.65
84000,760.65
84500,784.29
85000,760.65
85500,760.65
86000,760.65
86500,760.65
87000,760.65
87500,760.65
88000,760.65
88500,760.65
89000,760.65
89500,760.65
90000,760.65
90500,760.65
91000,760.65
91500,760.65
92000,760.65
92500,737.00
93000,760.65
93500,760.65
94000,737.00
94500,737.00
95000,737.00
95500,737.00
96000,760.65
96500,760.65
97000,760.65
97500,784.29
98000,760.65
98500,760.65
99000,784.29
99500,784.29
100000,760.65
100500,760.65
101000,784.29
101500,760.65
102000,784.29
102500,760.65
103000,760.65
103500,760.65
104000,760.65
104500,737.00
105000,760.65
105500,760.65
106000,760.65
106500,784.29
107000,760.65
107500,737.00
108000,737.00
108500,737.00
109000,760.65
109500,737.00
110000,713.35
110500,737.00
111000,737.00
111500,737.00
112000,760.65
112500,737.00
113000,760.65
113500,760.65
114000,760.65
114500,760.65
115000,760.65
115500,737.00
116000,760.65
116500,760.65
117000,737.00
117500,737.00
118000,760.65
118500,760.65
119000,760.65
119500,760.65
120000,760.65
120500,760.65
121000,760.65
121500,760.65
122000,760.65
122500,760.65
123000,760.65
123500,760.65
124000,737.00
124500,760.65
125000,737.00
125500,737.00
126000,760.65
126500,737.00
127000,737.00
127500,737.00
128000,760.65
128500,760.65
129000,760.65
129500,760.65
130000,760.65
130500,760.65
131000,760.65
131500,760.65
132000,737.00
132500,760.65
133000,760.65
133500,760.65
134000,760.65
134500,760.65
135000,760.65
135500,760.65
136000,760.65
136500,760.65
137000,760.65
137500,760.65
138000,760.65
138500,737.00
139000,737.00
139500,737.00
140000,737.00
140500,760.65
141000,760.65
141500,760.65
142000,737.00
142500,760.65
143000,760.65
143500,760.65
144000,760.65
144500,737.00
145000,760.65
145500,760.65
146000,760.65
146500,760.65
147000,737.00
147500,760.65
148000,760.65
148500,760.65
149000,760.65
149500,737.00
150000,737.00
150500,760.65
151000,760.65
151500,760.65
152000,760.65
152500,760.65
153000,760.65
153500,760.65
154000,760.65
154500,784.29
155000,737.00
155500,760.65
156000,737.00
156500,760.65
157000,760.65
157500,760.65
158000,760.65
158500,760.65
159000,760.65
159500,737.00
160000,760.65
160500,760.65
161000,760.65
161500,760.65
162000,737.00
162500,760.65
163000,760.65
163500,760.65
164000,760.65
164500,760.65
165000,760.65
165500,760.65
166000,760.65
166500,760.65
167000,760.65
167500,760.65
168000,737.00
168500,760.65
169000,760.65
169500,760.65
170000,760.65
170500,737.00
171000,737.00
171500,737.00
172000,737.00
172500,737.00
173000,760.65
173500,737.00
174000,760.65
174500,760.65
175000,737.00
175500,760.65
176000,760.65
176500,760.65
177000,760.65
177500,760.65
178000,784.29
178500,760.65
179000,760.65
179500,760.65
180000,760.65
180500,760.65
181000,760.65
181500,737.00
182000,760.65
182500,737.00
183000,737.00
183500,760.65
184000,760.65
184500,760.65
185000,760.65
185500,760.65
186000,760.65
186500,760.65
187000,737.00
187500,737.00
188000,784.29
188500,760.65
189000,760.65
189500,760.65
190000,737.00
190500,760.65
191000,784.29
191500,760.65
192000,760.65
192500,760.65
193000,760.65
193500,760.65
194000,760.65
194500,760.65
195000,760.65
195500,760.65
196000,737.00
196500,760.65
197000,737.00
197500,760.65
198000,760.65
198500,737.00
199000,760.65
199500,760.65
200000,760.65
200500,760.65
201000,760.65
201500,760.65
202000,737.00
202500,760.65
203000,737.00
203500,760.65
204000,760.65
204500,760.65
205000,760.65
205500,737.00
206000,737.00
206500,760.65
207000,737.00
207500,760.65
208000,737.00
208500,737.00
209000,760.65
209500,737.00
210000,760.65
210500,760.65
211000,760.65
211500,760.65
212000,737.00
212500,737.00
213000,737.00
213500,760.65
214000,737.00
214500,760.65
215000,760.65
215500,760.65
216000,737.00
216500,760.65
217000,737.00
217500,760.65
218000,760.65
218500,737.00
219000,737.00
219500,737.00
220000,737.00
220500,760.65
221000,760.65
221500,760.65
222000,760.65
222500,760.65
223000,760.65
223500,760.65
224000,760.65
224500,760.65
225000,760.65
225500,760.65
226000,737.00
226500,760.65
227000,737.00
227500,737.00
228000,760.65
228500,737.00
229000,760.65
229500,760.65
230000,760.65
230500,760.65
231000,760.65
231500,760.65
232000,760.65
232500,760.65
233000,760.65
233500,760.65
234000,760.65
234500,760.65
235000,760.65
235500,760.65
236000,760.65
236500,760.65
237000,737.00
237500,760.65
238000,760.65
238500,784.29
239000,760.65
239500,760.65
240000,760.65
240500,760.65
241000,737.00
241500,760.65
242000,784.29
242500,760.65
243000,760.65
243500,760.65
244000,760.65
244500,737.00
245000,760.65
245500,760.65
246000,760.65
246500,760.65
247000,760.65
247500,760.65
248000,760.65
248500,760.65
249000,760.65
249500,760.65
250000,760.65
250500,760.65
251000,737.00
251500,760.65
252000,760.65
252500,760.65
253000,760.65
253500,737.00
254000,737.00
254500,760.65
255000,760.65
255500,737.00
256000,737.00
256500,760.65
257000,760.65
257500,737.00
258000,760.65
258500,760.65
259000,760.65
259500,760.65
260000,760.65
260500,760.65
261000,760.65
261500,760.65
262000,760.65
262500,760.65
263000,737.00
263500,760.65
264000,760.65
264500,784.29
265000,737.00
265500,760.65
266000,760.65
266500,760.65
267000,760.65
267500,737.00
268000,760.65
268500,760.65
269000,737.00
269500,760.65
270000,760.65
270500,760.65
271000,784.29
271500,760.65
272000,760.65
272500,760.65
273000,737.00
273500,760.65
274000,760.65
274500,760.65
275000,760.65
275500,760.65
276000,737.00
276500,760.65
277000,760.65
277500,760.65
278000,760.65
278500,760.65
279000,784.29
279500,760.65
280000,760.65
280500,737.00
281000,760.65
281500,760.65
282000,760.65
282500,760.65
283000,760.65
283500,760.65
284000,760.65
284500,760.65
285000,760.65
285500,760.65
286000,760.65
286500,784.29
287000,784.29
287500,760.65
288000,760.65
288500,760.65
289000,760.65
289500,760.65
290000,784.29
290500,760.65
291000,737.00
291500,760.65
292000,760.65
292500,737.00
293000,760.65
293500,784.29
294000,760.65
294500,760.65
295000,760.65
295500,760.65
296000,760.65
296500,760.65
297000,760.65
297500,760.65
298000,760.65
298500,760.65
299000,737.00
299500,760.65
300000,737.00
300500,760.65
301000,760.65
301500,760.65
302000,760.65
302500,760.65
303000,760.65
303500,760.65
304000,760.65
304500,760.65
305000,760.65
305500,760.65
306000,760.65
306500,760.65
307000,760.65
307500,737.00
308000,760.65
308500,760.65
309000,760.65
309500,760.65
310000,760.65
310500,760.65
311000,760.65
311500,760.65
312000,760.65
312500,737.00
313000,760.65
313500,760.65
314000,737.00
314500,760.65
315000,760.65
315500,737.00
316000,760.65
316500,760.65
317000,760.65
317500,784.29
318000,737.00
318500,760.65
319000,760.65
319500,760.65
320000,737.00
320500,760.65
