STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,831.59
500,855.24
1000,878.89
1500,949.83
2000,997.12
2500,973.47
3000,926.18
3500,878.89
4000,855.24
4500,831.59
5000,807.94
5500,737.00
6000,713.35
6500,713.35
7000,666.06
7500,666.06
8000,618.76
8500,595.12
9000,547.82
9500,524.18
10000,618.76
10500,618.76
11000,642.41
11500,689.71
12000,666.06
12500,689.71
13000,689.71
13500,737.00
14000,760.65
14500,760.65
15000,807.94
15500,831.59
16000,855.24
16500,855.24
17000,902.53
17500,949.83
18000,973.47
18500,973.47
19000,902.53
19500,878.89
20000,855.24
20500,831.59
21000,784.29
21500,760.65
22000,737.00
22500,689.71
23000,689.71
23500,666.06
24000,618.76
24500,618.76
25000,595.12
25500,524.18
26000,618.76
26500,618.76
27000,666.06
27500,642.41
28000,666.06
28500,713.35
29000,713.35
29500,737.00
30000,760.65
30500,784.29
31000,784.29
31500,831.59
32000,855.24
32500,902.53
33000,949.83
33500,997.12
34000,1020.77
34500,997.12
35000,926.18
35500,902.53
36000,855.24
36500,855.24
37000,855.24
37500,737.00
38000,737.00
38500,713.35
39000,689.71
39500,666.06
40000,618.76
40500,642.41
41000,595.12
41500,547.82
42000,618.76
42500,642.41
43000,666.06
43500,713.35
44000,713.35
44500,737.00
45000,737.00
45500,760.65
46000,784.29
46500,807.94
47000,831.59
47500,878.89
48000,902.53
48500,902.53
49000,973.47
49500,997.12
50000,1020.77
50500,1020.77
51000,926.18
51500,902.53
52000,831.59
52500,807.94
53000,784.29
53500,713.35
54000,689.71
54500,689.71
55000,642.41
55500,618.76
56000,595.12
56500,595.12
57000,547.82
57500,500.53
58000,618.76
58500,618.76
59000,666.06
59500,689.71
60000,689.71
60500,689.71
61000,713.35
61500,760.65
62000,784.29
62500,784.29
63000,807.94
63500,855.24
64000,878.89
64500,878.89
65000,949.83
65500,973.47
66000,1020.77
66500,1020.77
67000,926.18
67500,878.89
68000,855.24
68500,807.94
69000,784.29
69500,760.65
70000,737.00
70500,760.65
71000,760.65
71500,760.65
72000,760.65
72500,760.65
73000,737.00
73500,737.00
74000,737.00
74500,713.35
75000,737.00
75500,737.00
76000,737.00
76500,737.00
77000,737.00
77500,784.29
78000,760.65
78500,760.65
79000,784.29
79500,807.94
80000,807.94
80500,807.94
81000,807.94
81500,807.94
82000,807.94
82500,831.59
83000,807.94
83500,807.94
84000,807.94
84500,807.94
85000,831.59
85500,807.94
86000,807.94
86500,784.29
87000,784.29
87500,760.65
88000,760.65
88500,760.65
89000,760.65
89500,760.65
90000,737.00
90500,737.00
91000,737.00
91500,760.65
92000,737.00
92500,760.65
93000,760.65
93500,784.29
94000,784.29
94500,784.29
95000,784.29
95500,807.94
96000,784.29
96500,807.94
97000,784.29
97500,807.94
98000,807.94
98500,831.59
99000,807.94
99500,807.94
100000,784.29
100500,831.59
101000,807.94
101500,807.94
102000,807.94
102500,784.29
103000,784.29
103500,784.29
104000,784.29
104500,760.65
105000,760.65
105500,760.65
106000,760.65
106500,737.00
107000,760.65
107500,784.29
108000,784.29
108500,760.65
109000,760.65
109500,784.29
110000,784.29
110500,784.29
111000,784.29
111500,784.29
112000,784.29
112500,807.94
113000,784.29
113500,784.29
114000,807.94
114500,784.29
115000,807.94
115500,784.29
116000,784.29
116500,807.94
117000,784.29
117500,760.65
118000,760.65
118500,784.29
119000,760.65
119500,760.65
120000,760.65
120500,760.65
121000,760.65
121500,737.00
122000,713.35
122500,713.35
123000,737.00
123500,737.00
124000,737.00
124500,737.00
125000,760.65
125500,760.65
126000,784.29
126500,760.65
127000,760.65
127500,784.29
128000,807.94
128500,784.29
129000,784.29
129500,784.29
130000,807.94
130500,784.29
131000,807.94
131500,784.29
132000,784.29
132500,784.29
133000,784.29
133500,760.65
134000,784.29
134500,760.65
135000,760.65
135500,737.00
136000,737.00
136500,737.00
137000,737.00
137500,737.00
138000,737.00
138500,737.00
139000,760.65
139500,760.65
140000,760.65
140500,760.65
141000,760.65
141500,784.29
142000,784.29
142500,784.29
143000,784.29
143500,784.29
144000,807.94
144500,807.94
145000,784.29
145500,784.29
146000,807.94
146500,807.94
147000,807.94
147500,807.94
148000,807.94
148500,784.29
149000,784.29
149500,760.65
150000,760.65
150500,784.29
151000,760.65
151500,760.65
152000,760.65
152500,760.65
153000,760.65
153500,760.65
154000,760.65
154500,737.00
155000,760.65
155500,737.00
156000,760.65
156500,760.65
157000,760.65
157500,784.29
158000,760.65
158500,784.29
159000,807.94
159500,807.94
160000,807.94
160500,784.29
161000,784.29
161500,807.94
162000,831.59
162500,807.94
163000,807.94
163500,784.29
164000,807.94
164500,807.94
165000,784.29
165500,784.29
166000,784.29
166500,784.29
167000,760.65
167500,760.65
168000,737.00
168500,760.65
169000,760.65
169500,760.65
170000,737.00
170500,737.00
171000,737.00
171500,760.65
172000,760.65
172500,760.65
173000,737.00
173500,784.29
174000,784.29
174500,784.29
175000,760.65
175500,807.94
176000,784.29
176500,784.29
177000,784.29
177500,807.94
178000,807.94
178500,807.94
179000,807.94
179500,807.94
180000,807.94
180500,807.94
