STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,-4276.22
500,-4276.22
1000,-4252.57
1500,-4252.57
2000,-4252.57
2500,-4252.57
3000,-4252.57
3500,-4252.57
4000,-4276.22
4500,-4228.92
5000,-4252.57
5500,-4276.22
6000,-4228.92
6500,-4252.57
7000,-4252.57
7500,-4252.57
8000,-4252.57
8500,-4276.22
9000,-4276.22
9500,-4276.22
10000,-4276.22
10500,-4276.22
11000,-4276.22
11500,-4276.22
12000,-4276.22
12500,-4299.87
13000,-4299.87
13500,-4323.51
14000,-4299.87
14500,-4299.87
15000,-4299.87
15500,-4276.22
16000,-4276.22
16500,-4252.57
17000,-4276.22
17500,-4252.57
18000,-4252.57
18500,-4252.57
19000,-4228.92
19500,-4228.92
20000,-4228.92
20500,-4252.57
21000,-4252.57
21500,-4228.92
22000,-4228.92
22500,-4228.92
23000,-4228.92
23500,-4205.28
24000,-4205.28
24500,-4228.92
25000,-4228.92
25500,-4228.92
26000,-4228.92
26500,-4228.92
27000,-4252.57
27500,-4252.57
28000,-4276.22
28500,-4276.22
29000,-4299.87
29500,-4276.22
30000,-4252.57
30500,-4252.57
31000,-4252.57
31500,-4252.57
32000,-4228.92
32500,-4228.92
33000,-4228.92
33500,-4228.92
34000,-4205.28
34500,-4205.28
35000,-4205.28
35500,-4205.28
36000,-4228.92
36500,-4205.28
37000,-4205.28
37500,-4228.92
38000,-4205.28
38500,-4205.28
39000,-4181.63
39500,-4205.28
40000,-4228.92
40500,-4228.92
41000,-4228.92
41500,-4205.28
42000,-4205.28
42500,-4228.92
43000,-4252.57
43500,-4276.22
44000,-4252.57
44500,-4299.87
45000,-4323.51
45500,-4299.87
46000,-4276.22
46500,-4276.22
47000,-4276.22
47500,-4252.57
48000,-4276.22
48500,-4276.22
49000,-4252.57
49500,-4276.22
50000,-4252.57
50500,-4252.57
51000,-4252.57
51500,-4276.22
52000,-4276.22
52500,-4252.57
53000,-4252.57
53500,-4252.57
54000,-4228.92
54500,-4252.57
55000,-4252.57
55500,-4252.57
56000,-4252.57
56500,-4252.57
57000,-4252.57
57500,-4228.92
58000,-4252.57
58500,-4276.22
59000,-4252.57
59500,-4252.57
60000,-4276.22
60500,-4299.87
61000,-4299.87
61500,-4276.22
62000,-4276.22
62500,-4276.22
63000,-4299.87
63500,-4276.22
64000,-4276.22
64500,-4252.57
65000,-4276.22
65500,-4252.57
66000,-4157.98
66500,-4228.92
67000,-4228.92
67500,-4252.57
68000,-4252.57
68500,-4228.92
69000,-4299.87
69500,-4276.22
70000,-4252.57
70500,-4252.57
71000,-4252.57
71500,-4252.57
72000,-4252.57
72500,-4252.57
73000,-4252.57
73500,-4252.57
74000,-4252.57
74500,-4252.57
75000,-4252.57
75500,-4252.57
76000,-4276.22
76500,-4276.22
77000,-4276.22
77500,-4276.22
78000,-4276.22
78500,-4276.22
79000,-4276.22
79500,-4276.22
80000,-4252.57
80500,-4228.92
81000,-4252.57
81500,-4228.92
82000,-4228.92
82500,-4228.92
83000,-4205.28
83500,-4228.92
84000,-4228.92
84500,-4228.92
85000,-4228.92
85500,-4228.92
86000,-4205.28
86500,-4228.92
87000,-4228.92
87500,-4228.92
88000,-4228.92
88500,-4228.92
89000,-4228.92
89500,-4276.22
90000,-4252.57
90500,-4252.57
91000,-4252.57
91500,-4252.57
92000,-4252.57
92500,-4228.92
93000,-4252.57
93500,-4276.22
94000,-4252.57
94500,-4252.57
95000,-4252.57
95500,-4228.92
96000,-4252.57
96500,-4228.92
97000,-4228.92
97500,-4228.92
98000,-4228.92
98500,-4228.92
99000,-4228.92
99500,-4228.92
100000,-4228.92
100500,-4228.92
101000,-4228.92
101500,-4228.92
102000,-4228.92
102500,-4205.28
103000,-4228.92
103500,-4228.92
104000,-4205.28
104500,-4252.57
105000,-4228.92
105500,-4228.92
106000,-4276.22
106500,-4276.22
107000,-4299.87
107500,-4276.22
108000,-4299.87
108500,-4299.87
109000,-4299.87
109500,-4276.22
110000,-4276.22
110500,-4276.22
111000,-4276.22
111500,-4276.22
112000,-4252.57
112500,-4252.57
113000,-4252.57
113500,-4228.92
114000,-4228.92
114500,-4228.92
115000,-4252.57
115500,-4205.28
116000,-4228.92
116500,-4228.92
117000,-4205.28
117500,-4181.63
118000,-4205.28
118500,-4205.28
119000,-4228.92
119500,-4228.92
120000,-4228.92
120500,-4228.92
121000,-4228.92
121500,-4252.57
122000,-4228.92
122500,-4228.92
123000,-4252.57
123500,-4299.87
124000,-4299.87
124500,-4276.22
125000,-4276.22
125500,-4252.57
126000,-4252.57
126500,-4252.57
127000,-4252.57
127500,-4228.92
128000,-4228.92
128500,-4228.92
129000,-4228.92
129500,-4252.57
130000,-4228.92
130500,-4228.92
131000,-4205.28
131500,-4228.92
132000,-4228.92
132500,-4252.57
133000,-4228.92
133500,-4228.92
134000,-4228.92
134500,-4228.92
135000,-4252.57
135500,-4252.57
136000,-4252.57
136500,-4252.57
137000,-4276.22
137500,-4276.22
138000,-4276.22
138500,-4252.57
139000,-4276.22
139500,-4299.87
140000,-4323.51
