STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,-3897.86
500,-3897.86
1000,-3897.86
1500,-3874.22
2000,-3874.22
2500,-3850.57
3000,-3850.57
3500,-3850.57
4000,-3850.57
4500,-3803.27
5000,-3803.27
5500,-3803.27
6000,-3803.27
6500,-3779.63
7000,-3803.27
7500,-3779.63
8000,-3803.27
8500,-3803.27
9000,-3803.27
9500,-3826.92
10000,-3850.57
10500,-3850.57
11000,-3850.57
11500,-3850.57
12000,-3874.22
12500,-3874.22
13000,-3874.22
13500,-3874.22
14000,-3897.86
14500,-3874.22
15000,-3897.86
15500,-3874.22
16000,-3874.22
16500,-3897.86
17000,-3874.22
17500,-3874.22
18000,-3874.22
18500,-3850.57
19000,-3826.92
19500,-3850.57
20000,-3826.92
20500,-3803.27
21000,-3850.57
21500,-3850.57
22000,-3826.92
22500,-3850.57
23000,-3850.57
23500,-3850.57
24000,-3874.22
24500,-3874.22
25000,-3874.22
25500,-3874.22
26000,-3921.51
26500,-3897.86
27000,-3897.86
27500,-3897.86
28000,-3921.51
28500,-3921.51
29000,-3921.51
29500,-3897.86
30000,-3921.51
30500,-3945.16
31000,-3945.16
31500,-3921.51
32000,-3921.51
32500,-3921.51
33000,-3897.86
33500,-3897.86
34000,-3897.86
34500,-3897.86
35000,-3874.22
35500,-3874.22
36000,-3874.22
36500,-3850.57
37000,-3874.22
37500,-3850.57
38000,-3850.57
38500,-3850.57
39000,-3850.57
39500,-3874.22
40000,-3874.22
40500,-3874.22
41000,-3897.86
41500,-3874.22
42000,-3897.86
42500,-3897.86
43000,-3897.86
43500,-3897.86
44000,-3921.51
44500,-3921.51
45000,-3921.51
45500,-3945.16
46000,-3945.16
46500,-3921.51
47000,-3945.16
47500,-3897.86
48000,-3897.86
48500,-3897.86
49000,-3897.86
49500,-3874.22
50000,-3850.57
50500,-3874.22
51000,-3850.57
51500,-3850.57
52000,-3850.57
52500,-3850.57
53000,-3850.57
53500,-3850.57
54000,-3850.57
54500,-3850.57
55000,-3850.57
55500,-3874.22
56000,-3874.22
56500,-3874.22
57000,-3897.86
57500,-3921.51
58000,-3921.51
58500,-3921.51
