STARTING CAPTURE...
BUTTON RELEASED, DUMPING DATA...
0,1115.36
500,1044.41
1000,973.47
1500,949.83
2000,878.89
2500,831.59
3000,807.94
3500,760.65
4000,784.29
4500,737.00
5000,713.35
5500,666.06
6000,666.06
6500,571.47
7000,595.12
7500,689.71
8000,737.00
8500,760.65
9000,784.29
9500,807.94
10000,760.65
10500,831.59
11000,855.24
11500,926.18
12000,949.83
12500,973.47
13000,1020.77
13500,1020.77
14000,1068.06
14500,1091.71
15000,1162.65
15500,1162.65
16000,1091.71
16500,1044.41
17000,949.83
17500,926.18
18000,878.89
18500,807.94
19000,807.94
19500,784.29
20000,807.94
20500,737.00
21000,713.35
21500,689.71
22000,666.06
22500,571.47
23000,666.06
23500,642.41
24000,713.35
24500,760.65
25000,784.29
25500,760.65
26000,737.00
26500,807.94
27000,878.89
27500,902.53
28000,926.18
28500,949.83
29000,997.12
29500,997.12
30000,1068.06
30500,1091.71
31000,1115.36
31500,1139.01
32000,1020.77
32500,973.47
33000,949.83
33500,902.53
34000,831.59
34500,760.65
35000,784.29
35500,784.29
36000,713.35
36500,689.71
37000,689.71
37500,666.06
38000,642.41
38500,524.18
39000,595.12
39500,642.41
40000,713.35
40500,737.00
41000,784.29
41500,760.65
42000,760.65
42500,855.24
43000,902.53
43500,902.53
44000,949.83
44500,997.12
45000,1020.77
45500,1044.41
46000,1139.01
46500,1139.01
47000,1162.65
47500,1139.01
48000,1068.06
48500,997.12
49000,973.47
49500,949.83
50000,926.18
50500,902.53
51000,878.89
51500,855.24
52000,807.94
52500,784.29
53000,784.29
53500,760.65
54000,689.71
54500,737.00
55000,807.94
55500,831.59
56000,878.89
56500,902.53
57000,902.53
57500,902.53
58000,949.83
58500,973.47
59000,973.47
59500,1020.77
60000,1044.41
60500,1091.71
61000,1068.06
61500,1162.65
62000,1209.95
62500,1233.59
63000,1233.59
63500,1162.65
64000,1115.36
64500,1068.06
65000,997.12
65500,949.83
66000,902.53
66500,878.89
67000,855.24
67500,760.65
68000,760.65
68500,737.00
69000,737.00
69500,713.35
70000,618.76
70500,737.00
71000,784.29
71500,878.89
72000,902.53
72500,878.89
73000,855.24
73500,878.89
74000,878.89
74500,902.53
75000,878.89
75500,878.89
76000,878.89
76500,878.89
77000,855.24
77500,807.94
78000,855.24
78500,855.24
79000,855.24
79500,855.24
80000,855.24
80500,855.24
81000,855.24
81500,831.59
82000,855.24
82500,831.59
83000,855.24
83500,831.59
84000,855.24
84500,831.59
85000,807.94
85500,831.59
86000,784.29
86500,784.29
87000,784.29
87500,784.29
88000,807.94
88500,807.94
89000,807.94
89500,831.59
90000,831.59
90500,855.24
91000,855.24
91500,878.89
92000,878.89
92500,878.89
93000,855.24
93500,878.89
94000,831.59
94500,855.24
95000,878.89
95500,878.89
96000,878.89
96500,902.53
97000,926.18
97500,902.53
98000,878.89
98500,878.89
99000,855.24
99500,878.89
100000,855.24
100500,878.89
101000,878.89
101500,855.24
102000,831.59
102500,855.24
103000,878.89
103500,878.89
104000,902.53
104500,878.89
105000,902.53
105500,902.53
106000,926.18
106500,926.18
107000,926.18
107500,926.18
108000,926.18
108500,926.18
109000,926.18
109500,949.83
110000,926.18
110500,926.18
111000,949.83
111500,973.47
112000,949.83
112500,926.18
113000,902.53
113500,878.89
114000,902.53
114500,902.53
115000,878.89
115500,902.53
116000,878.89
116500,878.89
117000,878.89
117500,855.24
118000,878.89
118500,831.59
119000,878.89
119500,855.24
120000,855.24
120500,855.24
121000,878.89
121500,878.89
122000,878.89
122500,878.89
123000,878.89
123500,878.89
124000,878.89
124500,878.89
125000,855.24
125500,855.24
126000,878.89
126500,855.24
127000,855.24
127500,855.24
128000,831.59
128500,855.24
129000,831.59
129500,855.24
130000,807.94
130500,831.59
131000,807.94
131500,807.94
132000,784.29
132500,784.29
133000,807.94
133500,784.29
134000,784.29
134500,784.29
135000,807.94
135500,784.29
136000,760.65
136500,807.94
137000,784.29
137500,807.94
138000,807.94
138500,807.94
139000,831.59
139500,831.59
140000,807.94
140500,831.59
141000,831.59
141500,831.59
142000,831.59
142500,831.59
143000,831.59
143500,807.94
144000,807.94
144500,831.59
145000,807.94
145500,807.94
146000,807.94
146500,807.94
147000,784.29
147500,807.94
148000,807.94
148500,807.94
149000,784.29
149500,784.29
150000,807.94
150500,807.94
151000,807.94
151500,807.94
152000,807.94
152500,831.59
153000,831.59
153500,831.59
154000,855.24
154500,831.59
155000,855.24
155500,855.24
156000,855.24
156500,878.89
157000,855.24
157500,878.89
158000,878.89
158500,878.89
159000,878.89
159500,878.89
160000,855.24
160500,855.24
161000,855.24
161500,855.24
162000,831.59
162500,831.59
163000,831.59
163500,807.94
164000,831.59
164500,831.59
165000,807.94
165500,807.94
166000,807.94
166500,831.59
167000,831.59
167500,831.59
168000,807.94
168500,831.59
169000,831.59
169500,855.24
170000,831.59
170500,855.24
171000,855.24
171500,855.24
172000,855.24
172500,855.24
173000,855.24
173500,831.59
174000,807.94
174500,807.94
175000,831.59
175500,831.59
176000,807.94
176500,807.94
177000,831.59
177500,807.94
178000,807.94
178500,784.29
179000,760.65
179500,760.65
180000,760.65
180500,737.00
181000,737.00
181500,737.00
182000,760.65
182500,760.65
183000,760.65
183500,760.65
184000,784.29
184500,784.29
185000,807.94
185500,807.94
186000,807.94
186500,784.29
187000,807.94
187500,831.59
188000,807.94
188500,855.24
189000,831.59
189500,807.94
190000,807.94
190500,807.94
191000,807.94
191500,807.94
192000,737.00
192500,760.65
193000,784.29
193500,784.29
194000,784.29
194500,784.29
195000,831.59
195500,784.29
196000,760.65
196500,784.29
197000,784.29
197500,784.29
198000,784.29
198500,784.29
199000,807.94
199500,807.94
200000,831.59
200500,831.59
201000,831.59
201500,855.24
202000,855.24
202500,878.89
203000,855.24
203500,855.24
204000,878.89
204500,902.53
205000,902.53
205500,878.89
206000,878.89
206500,878.89
207000,855.24
207500,855.24
208000,855.24
208500,878.89
209000,855.24
209500,855.24
210000,831.59
210500,855.24
211000,855.24
211500,855.24
212000,831.59
212500,855.24
213000,855.24
213500,855.24
214000,878.89
214500,878.89
215000,855.24
215500,878.89
216000,878.89
216500,902.53
217000,902.53
217500,878.89
218000,902.53
218500,902.53
219000,926.18
219500,902.53
220000,926.18
220500,926.18
221000,949.83
221500,902.53
222000,902.53
222500,902.53
223000,878.89
223500,878.89
224000,855.24
224500,831.59
225000,855.24
225500,855.24
226000,831.59
226500,831.59
227000,831.59
227500,855.24
228000,807.94
228500,807.94
229000,807.94
229500,807.94
230000,831.59
230500,831.59
231000,831.59
231500,855.24
232000,831.59
232500,831.59
233000,855.24
233500,855.24
234000,855.24
234500,855.24
235000,878.89
235500,878.89
236000,878.89
236500,855.24
237000,855.24
237500,878.89
238000,831.59
238500,831.59
239000,831.59
239500,855.24
240000,831.59
240500,831.59
241000,807.94
241500,807.94
242000,807.94
242500,807.94
243000,807.94
243500,784.29
244000,784.29
244500,784.29
245000,807.94
245500,807.94
246000,807.94
246500,831.59
247000,831.59
247500,855.24
248000,855.24
248500,855.24
249000,855.24
249500,855.24
250000,878.89
250500,878.89
251000,902.53
251500,878.89
252000,902.53
252500,902.53
253000,902.53
253500,902.53
254000,902.53
254500,878.89
255000,855.24
255500,878.89
256000,855.24
256500,855.24
257000,855.24
257500,855.24
258000,831.59
258500,878.89
259000,855.24
259500,831.59
260000,831.59
260500,878.89
261000,855.24
261500,878.89
262000,878.89
262500,878.89
263000,902.53
263500,902.53
264000,902.53
264500,902.53
265000,926.18
265500,926.18
266000,926.18
266500,902.53
267000,926.18
267500,926.18
268000,926.18
268500,878.89
269000,878.89
269500,902.53
270000,902.53
270500,902.53
271000,902.53
271500,973.47
272000,926.18
272500,878.89
273000,855.24
273500,855.24
274000,855.24
274500,855.24
275000,855.24
275500,831.59
276000,831.59
276500,855.24
277000,855.24
277500,855.24
278000,831.59
278500,855.24
279000,855.24
279500,855.24
280000,855.24
280500,878.89
281000,878.89
281500,878.89
282000,878.89
282500,878.89
283000,878.89
283500,902.53
284000,878.89
284500,902.53
285000,855.24
285500,878.89
286000,855.24
286500,855.24
287000,831.59
287500,831.59
288000,831.59
288500,831.59
289000,831.59
289500,807.94
290000,831.59
290500,807.94
291000,784.29
291500,807.94
292000,831.59
292500,831.59
293000,831.59
293500,831.59
294000,855.24
294500,855.24
295000,855.24
295500,855.24
296000,878.89
296500,878.89
297000,902.53
297500,878.89
298000,902.53
298500,878.89
299000,878.89
299500,902.53
300000,878.89
300500,878.89
301000,902.53
301500,902.53
302000,902.53
302500,878.89
303000,878.89
303500,878.89
304000,878.89
304500,855.24
305000,855.24
305500,855.24
306000,878.89
306500,855.24
307000,855.24
307500,878.89
308000,878.89
308500,878.89
309000,878.89
309500,902.53
310000,902.53
310500,926.18
311000,926.18
311500,926.18
312000,926.18
312500,926.18
313000,949.83
313500,926.18
314000,949.83
314500,949.83
315000,949.83
315500,926.18
316000,949.83
316500,926.18
317000,902.53
317500,926.18
318000,902.53
318500,926.18
319000,878.89
319500,878.89
320000,878.89
320500,878.89
321000,878.89
321500,878.89
322000,855.24
322500,855.24
323000,831.59
323500,855.24
324000,855.24
324500,878.89
325000,855.24
325500,855.24
326000,878.89
326500,902.53
327000,902.53
327500,902.53
328000,902.53
328500,902.53
329000,902.53
329500,902.53
330000,902.53
330500,902.53
331000,926.18
331500,902.53
332000,902.53
332500,878.89
333000,878.89
333500,878.89
334000,878.89
334500,878.89
335000,878.89
335500,855.24
336000,855.24
336500,831.59
337000,855.24
337500,831.59
338000,831.59
338500,807.94
339000,831.59
339500,831.59
340000,831.59
340500,831.59
341000,807.94
341500,855.24
342000,855.24
342500,855.24
343000,855.24
343500,878.89
344000,878.89
344500,878.89
345000,878.89
345500,878.89
346000,902.53
346500,878.89
347000,902.53
347500,902.53
348000,902.53
348500,902.53
349000,878.89
349500,878.89
350000,878.89
350500,855.24
351000,878.89
351500,855.24
352000,831.59
352500,855.24
353000,855.24
353500,855.24
354000,855.24
354500,831.59
355000,855.24
355500,855.24
356000,878.89
356500,878.89
357000,878.89
357500,878.89
358000,902.53
358500,902.53
359000,902.53
359500,926.18
360000,926.18
360500,949.83
361000,949.83
361500,949.83
362000,949.83
362500,949.83
363000,949.83
363500,949.83
364000,973.47
364500,949.83
365000,926.18
365500,926.18
366000,926.18
366500,926.18
367000,926.18
367500,926.18
368000,926.18
368500,949.83
369000,902.53
369500,878.89
370000,902.53
370500,926.18
371000,926.18
371500,926.18
372000,926.18
372500,926.18
373000,949.83
373500,949.83
374000,949.83
374500,949.83
375000,949.83
375500,973.47
376000,973.47
376500,949.83
377000,949.83
377500,997.12
378000,973.47
378500,973.47
379000,973.47
379500,973.47
380000,973.47
380500,949.83
381000,902.53
381500,926.18
382000,926.18
382500,926.18
383000,902.53
383500,926.18
384000,902.53
384500,926.18
385000,926.18
385500,878.89
386000,902.53
386500,902.53
387000,902.53
387500,902.53
388000,902.53
388500,902.53
389000,926.18
389500,902.53
390000,926.18
390500,926.18
391000,926.18
391500,926.18
392000,926.18
392500,926.18
393000,949.83
393500,949.83
394000,926.18
394500,926.18
395000,926.18
395500,902.53
396000,902.53
396500,926.18
397000,878.89
397500,902.53
398000,878.89
398500,855.24
399000,855.24
399500,878.89
400000,855.24
400500,807.94
401000,855.24
401500,831.59
402000,831.59
402500,855.24
403000,855.24
403500,855.24
404000,831.59
404500,878.89
405000,831.59
405500,878.89
406000,878.89
406500,902.53
407000,902.53
407500,902.53
408000,902.53
408500,878.89
409000,902.53
409500,902.53
410000,902.53
410500,878.89
411000,878.89
411500,878.89
412000,902.53
412500,902.53
413000,878.89
413500,902.53
414000,902.53
414500,855.24
415000,855.24
415500,855.24
416000,831.59
416500,831.59
417000,855.24
417500,855.24
418000,855.24
418500,855.24
419000,831.59
419500,878.89
420000,855.24
420500,878.89
421000,878.89
421500,878.89
422000,878.89
422500,902.53
423000,902.53
423500,902.53
424000,902.53
424500,926.18
425000,926.18
425500,926.18
426000,902.53
426500,926.18
427000,902.53
427500,926.18
428000,926.18
428500,926.18
429000,902.53
429500,902.53
430000,878.89
430500,878.89
431000,878.89
431500,831.59
432000,831.59
432500,855.24
433000,831.59
433500,831.59
434000,831.59
434500,831.59
435000,855.24
435500,855.24
436000,878.89
436500,878.89
